sensor_type,room,data_points,time_mean,time_std,time_min,time_max,time_25th,time_50th,time_75th,seconds_elapsed_mean,seconds_elapsed_std,seconds_elapsed_min,seconds_elapsed_max,seconds_elapsed_25th,seconds_elapsed_50th,seconds_elapsed_75th,z_mean,z_std,z_min,z_max,z_25th,z_50th,z_75th,y_mean,y_std,y_min,y_max,y_25th,y_50th,y_75th,x_mean,x_std,x_min,x_max,x_25th,x_50th,x_75th,dbfs_mean,dbfs_std,dbfs_min,dbfs_max,dbfs_25th,dbfs_50th,dbfs_75th,relativealtitude_mean,relativealtitude_std,relativealtitude_min,relativealtitude_max,relativealtitude_25th,relativealtitude_50th,relativealtitude_75th,pressure_mean,pressure_std,pressure_min,pressure_max,pressure_25th,pressure_50th,pressure_75th
magnetometeruncalibrated,2-01,1028,1.751013385005929e+18,2981460764.077492,1.751013379849629e+18,1.7510133901625024e+18,1.7510133824276306e+18,1.7510133850058465e+18,1.7510133875841582e+18,5.4919293486005145,2.9814607641274167,0.33562890625,10.64850244140625,2.913630615234375,5.491846435546875,8.070158386230469,-388.3235166378986,0.3716801980059192,-389.44769287109375,-386.8395385742188,-388.59278869628906,-388.33013916015625,-388.1191101074219,-198.47064366322084,0.4462725181293863,-199.58094787597656,-196.4810791015625,-198.75790405273435,-198.53346252441406,-198.25612258911133,-19.91122953066102,0.23462392881371627,-20.61000061035156,-19.15487670898437,-20.054805755615234,-19.92139434814453,-19.77593612670898,,,,,,,,,,,,,,,,,,,,,
microphone,2-01,102,1.7510133847385587e+18,3016825800.6873965,1.751013379579e+18,1.751013389854e+18,1.751013382145e+18,1.751013384754e+18,1.751013387328e+18,5.224558828316483,3.0168258239350108,0.065,10.340000244140626,2.631,5.24,7.814,,,,,,,,,,,,,,,,,,,,,,-32.933570543924965,3.9348391890041623,-37.21298599243164,-14.506750106811523,-35.12117958068848,-34.211992263793945,-32.567214012145996,,,,,,,,,,,,,,
barometer,2-01,9,1.751013383135938e+18,2558699559.761554,1.7510133792835144e+18,1.7510133868384934e+18,1.7510133812846554e+18,1.7510133832858122e+18,1.7510133848373412e+18,3.62193812391493,2.5586995327949347,-0.230485595703125,7.324493408203125,1.7706552734375,3.771812255859375,5.323341064453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06987380981445311,0.03601479926733334,-0.1109771728515625,0.0,-0.0845527648925781,-0.0792694091796875,-0.0475616455078125,1019.8431226942274,0.0043245575583893674,1019.8345947265624,1019.8480987548828,1019.8406982421876,1019.8440551757812,1019.8447418212892
accelerometeruncalibrated,2-01,1039,1.751013385005545e+18,2983669192.8542037,1.7510133798451438e+18,1.7510133901659604e+18,1.7510133824253384e+18,1.7510133850055416e+18,1.7510133875857482e+18,5.491544877934387,2.983669192672316,0.331143798828125,10.65196044921875,2.91133837890625,5.491541748046875,8.071748168945312,-0.9874633113504948,0.008691523215016702,-1.0261993408203125,-0.8742523193359375,-0.9921340942382812,-0.987548828125,-0.9831390380859376,-0.22243675253962644,0.009100077090239096,-0.2546234130859375,-0.18731689453125,-0.22750091552734375,-0.2223358154296875,-0.2177276611328125,0.03985818930837945,0.007556616522820409,0.00958251953125,0.0698089599609375,0.03574371337890625,0.0399627685546875,0.04482269287109375,,,,,,,,,,,,,,,,,,,,,
gyroscopeuncalibrated,2-01,1038,1.7510133850055447e+18,2980798953.5817766,1.7510133798501148e+18,1.7510133901609894e+18,1.7510133824278244e+18,1.751013385005541e+18,1.751013387583263e+18,5.491544949628945,2.980798953522536,0.33611474609375,10.646989501953126,2.913824401855469,5.491541137695313,8.069263061523438,0.006824069820566535,0.0169168651019215,-0.0441155284643173,0.0836387053132057,-0.0023922510445117252,0.00455520371906455,0.01355415862053625,0.013946367756274357,0.029370420911635033,-0.1006491109728813,0.2849739491939544,0.0015255252365022499,0.0125257787294685,0.022927420213818526,-0.003012810281893897,0.04218421559326859,-0.255828857421875,0.2855009734630584,-0.02804701402783385,-0.00503151002340015,0.017530657351016974,,,,,,,,,,,,,,,,,,,,,
