sensor_type,room,data_points,time_mean,time_std,time_min,time_max,time_25th,time_50th,time_75th,seconds_elapsed_mean,seconds_elapsed_std,seconds_elapsed_min,seconds_elapsed_max,seconds_elapsed_25th,seconds_elapsed_50th,seconds_elapsed_75th,z_mean,z_std,z_min,z_max,z_25th,z_50th,z_75th,y_mean,y_std,y_min,y_max,y_25th,y_50th,y_75th,x_mean,x_std,x_min,x_max,x_25th,x_50th,x_75th,dBFS_mean,dBFS_std,dBFS_min,dBFS_max,dBFS_25th,dBFS_50th,dBFS_75th,relativeAltitude_mean,relativeAltitude_std,relativeAltitude_min,relativeAltitude_max,relativeAltitude_25th,relativeAltitude_50th,relativeAltitude_75th,pressure_mean,pressure_std,pressure_min,pressure_max,pressure_25th,pressure_50th,pressure_75th
magnetometeruncalibrated,2-02,1049,1.7510134006663895e+18,3042312851.4011292,1.7510133954044073e+18,1.7510134059282944e+18,1.7510133980354524e+18,1.7510134006664773e+18,1.751013403297326e+18,5.388389388238053,3.042312852508139,0.1264072265625,10.65029443359375,2.757452392578125,5.388477294921875,8.019326171875,-383.6596230215067,0.47547081693231374,-384.90081787109375,-381.9810791015625,-383.98541259765625,-383.616455078125,-383.3167114257813,-200.05880158372557,0.5149734638633301,-201.6790313720703,-198.86045837402344,-200.45553588867188,-200.095947265625,-199.6378326416016,-18.65047153003791,0.4521581916171248,-19.77099609375,-17.50921630859375,-18.996871948242188,-18.71055603027344,-18.305984497070312,,,,,,,,,,,,,,,,,,,,,
microphone,2-02,103,1.7510134004993495e+18,3042548267.0737305,1.751013395307e+18,1.751013405728e+18,1.7510133979090002e+18,1.751013400476e+18,1.7510134030760003e+18,5.2213495169334045,3.0425482899044223,0.029,10.45,2.6310000000000002,5.198,7.798,,,,,,,,,,,,,,,,,,,,,,-33.98144777538707,4.46969833884144,-40.89682769775391,-17.980018615722656,-37.09047889709473,-35.413753509521484,-31.67421531677246,,,,,,,,,,,,,,
barometer,2-02,9,1.7510133986648054e+18,2558699322.399405,1.7510133948123732e+18,1.75101340236736e+18,1.7510133968135352e+18,1.751013398814679e+18,1.7510134003662062e+18,3.386805447048611,2.5586993643104305,-0.465626708984375,7.089360107421875,1.53553515625,3.536678955078125,5.088206298828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10686916775173608,0.07797291349700619,-0.2219581604003906,0.0,-0.1796798706054687,-0.1056938171386718,-0.0475616455078125,1019.8227945963541,0.009484107675984756,1019.8097229003906,1019.8368072509766,1019.8154449462892,1019.8223876953124,1019.83154296875
accelerometeruncalibrated,2-02,1060,1.751013400660794e+18,3043979799.152618,1.7510133953959283e+18,1.7510134059256704e+18,1.7510133980283576e+18,1.7510134006607916e+18,1.7510134032932288e+18,5.382794364497347,3.043979799154264,0.11792822265625,10.64767041015625,2.7503577880859376,5.382791625976562,8.015228698730468,-0.986795403822413,0.01610891723684958,-1.0568084716796875,-0.89825439453125,-0.9938812255859376,-0.9870681762695312,-0.9804840087890625,-0.2262474204009434,0.019893280542501522,-0.3108367919921875,-0.18585205078125,-0.24181747436523438,-0.22911834716796875,-0.2082366943359375,0.03833842727373231,0.015985876256788666,-0.0389862060546875,0.0861053466796875,0.0263824462890625,0.034942626953125,0.053043365478515625,,,,,,,,,,,,,,,,,,,,,
gyroscopeuncalibrated,2-02,1060,1.751013400665766e+18,3043979804.327859,1.7510133954009004e+18,1.7510134059306414e+18,1.7510133980333286e+18,1.7510134006657636e+18,1.7510134032981998e+18,5.387765913132001,3.043979805294274,0.122900390625,10.652641357421874,2.7553287353515623,5.387763549804688,8.020199829101562,0.004137134767639702,0.04172075977435257,-0.301448255777359,0.1789668202400207,-0.0070244868984445505,0.00613565673120315,0.01798193063586945,0.016409908413280404,0.0642251677096048,-0.2811786830425262,0.4886453151702881,-0.00526759924832725,0.0147950579412281,0.02923738118261095,-0.00904416917283186,0.09395545480342743,-0.7301982641220093,0.4660960733890533,-0.036649889312684474,-0.0086325034499168,0.022761705331504276,,,,,,,,,,,,,,,,,,,,,
