sensor_type,room,data_points,time_mean,time_std,time_min,time_max,time_25th,time_50th,time_75th,seconds_elapsed_mean,seconds_elapsed_std,seconds_elapsed_min,seconds_elapsed_max,seconds_elapsed_25th,seconds_elapsed_50th,seconds_elapsed_75th,z_mean,z_std,z_min,z_max,z_25th,z_50th,z_75th,y_mean,y_std,y_min,y_max,y_25th,y_50th,y_75th,x_mean,x_std,x_min,x_max,x_25th,x_50th,x_75th,dbfs_mean,dbfs_std,dbfs_min,dbfs_max,dbfs_25th,dbfs_50th,dbfs_75th,relativealtitude_mean,relativealtitude_std,relativealtitude_min,relativealtitude_max,relativealtitude_25th,relativealtitude_50th,relativealtitude_75th,pressure_mean,pressure_std,pressure_min,pressure_max,pressure_25th,pressure_50th,pressure_75th
magnetometeruncalibrated,2-21,1066,1.7510139334461967e+18,3091548944.4700017,1.751013928099099e+18,1.7510139387935404e+18,1.7510139307725903e+18,1.7510139334462013e+18,1.7510139361197893e+18,5.469196671763236,3.09154894342384,0.122098876953125,10.816540283203125,2.7955903320312503,5.4692012939453125,8.142789367675782,-396.69724733163,0.4612681670311599,-397.90185546875,-395.1661376953125,-397.0311737060547,-396.7083282470703,-396.39842224121094,-158.43183539642848,0.45537875395877364,-159.66822814941406,-157.26455688476562,-158.70182037353516,-158.35009765625,-158.12443161010742,-50.46449099427987,0.5874671417231383,-51.80680847167969,-48.581634521484375,-50.88071823120117,-50.57343292236328,-50.15625,,,,,,,,,,,,,,,,,,,,,
microphone,2-21,105,1.7510139333562857e+18,3119287720.3348994,1.751013928012e+18,1.751013938636e+18,1.751013930687e+18,1.751013933387e+18,1.751013936036e+18,5.379285711960565,3.1192877339532608,0.035,10.659,2.71,5.41,8.059,,,,,,,,,,,,,,,,,,,,,,-32.52281777518136,2.860469980468468,-36.2093391418457,-20.76636505126953,-34.07915496826172,-33.3632698059082,-31.86475944519043,,,,,,,,,,,,,,
barometer,2-21,10,1.751013931832899e+18,2833980723.1129155,1.7510139275101614e+18,1.7510139360657124e+18,1.7510139297614518e+18,1.7510139320127521e+18,1.751013933814423e+18,3.8558990722656254,2.833980718084625,-0.466838623046875,8.08871240234375,1.784451843261719,4.035752075195313,5.837423095703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03751907348632809,0.021923487539555763,0.0,0.0581283569335937,0.02245807647705075,0.04227638244628905,0.0581283569335937,1019.7880020141602,0.0027314818872649295,1019.785385131836,1019.7926330566406,1019.7854232788087,1019.7874450683594,1019.7899055480956
accelerometeruncalibrated,2-21,1077,1.75101393343893e+18,3092931783.4654393,1.751013928089276e+18,1.751013938788591e+18,1.7510139307641004e+18,1.7510139334389294e+18,1.7510139361137603e+18,5.461929797669307,3.092931783683597,0.11227587890625,10.811591064453124,2.787100341796875,5.461929443359375,8.13676025390625,-1.0110180358036647,0.012940881262011568,-1.082733154296875,-0.9035797119140624,-1.01702880859375,-1.011474609375,-1.0043182373046875,-0.08115423090942722,0.013826092428597798,-0.1359710693359375,-0.02752685546875,-0.090545654296875,-0.0809326171875,-0.071746826171875,-0.005568097892909993,0.016129155375673606,-0.0423583984375,0.08306884765625,-0.0171661376953125,-0.0069580078125,0.004486083984375,,,,,,,,,,,,,,,,,,,,,
gyroscopeuncalibrated,2-21,1077,1.7510139334439014e+18,3092931792.1760526,1.751013928094248e+18,1.7510139387935631e+18,1.7510139307690724e+18,1.7510139334439012e+18,1.7510139361187323e+18,5.466901594780061,3.09293179408715,0.117248046875,10.816563232421874,2.792072265625,5.466901123046875,8.141732177734376,0.003674384648272549,0.05457209089155235,-0.3066462278366089,0.2383182942867279,-0.0160199794918298,0.0087050748988986,0.0320309028029441,0.009870164081364392,0.07102045033288573,-0.4932800233364105,0.5601271986961365,-0.0168767180293798,0.0070363376289606,0.0357870273292064,-0.00771998293631384,0.07020077347692055,-0.304092526435852,0.3440572321414947,-0.0395711101591587,-0.0075426045805215,0.0291368458420038,,,,,,,,,,,,,,,,,,,,,
