dBFS_25th,dBFS_50th,dBFS_75th,dBFS_max,dBFS_mean,dBFS_min,dBFS_std,data_points,room,seconds_elapsed_25th,seconds_elapsed_50th,seconds_elapsed_75th,seconds_elapsed_max,seconds_elapsed_mean,seconds_elapsed_min,seconds_elapsed_std,sensor_type,time_25th,time_50th,time_75th,time_max,time_mean,time_min,time_std,x_25th,x_50th,x_75th,x_max,x_mean,x_min,x_std,y_25th,y_50th,y_75th,y_max,y_mean,y_min,y_std,z_25th,z_50th,z_75th,z_max,z_mean,z_min,z_std,pressure_25th,pressure_50th,pressure_75th,pressure_max,pressure_mean,pressure_min,pressure_std,relativeAltitude_25th,relativeAltitude_50th,relativeAltitude_75th,relativeAltitude_max,relativeAltitude_mean,relativeAltitude_min,relativeAltitude_std
,,,,,,,1028,2-01,2.913630615234375,5.491846435546875,8.070158386230469,10.64850244140625,5.4919293486005145,0.33562890625,2.9814607641274167,magnetometeruncalibrated,1.7510133824276306e+18,1.7510133850058465e+18,1.7510133875841582e+18,1.7510133901625024e+18,1.751013385005929e+18,1.751013379849629e+18,2981460764.077492,-20.054805755615234,-19.92139434814453,-19.77593612670898,-19.15487670898437,-19.91122953066102,-20.61000061035156,0.2346239288137162,-198.75790405273435,-198.5334625244141,-198.25612258911133,-196.4810791015625,-198.47064366322084,-199.58094787597656,0.4462725181293863,-388.59278869628906,-388.33013916015625,-388.1191101074219,-386.8395385742188,-388.3235166378986,-389.44769287109375,0.3716801980059192,,,,,,,,,,,,,,
-35.12117958068848,-34.211992263793945,-32.567214012146,-14.506750106811523,-32.933570543924965,-37.21298599243164,3.9348391890041614,102,2-01,2.631,5.24,7.814,10.340000244140626,5.224558828316483,0.065,3.0168258239350108,microphone,1.751013382145e+18,1.751013384754e+18,1.751013387328e+18,1.751013389854e+18,1.7510133847385587e+18,1.751013379579e+18,3016825800.6873965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1039,2-01,2.91133837890625,5.491541748046875,8.071748168945312,10.65196044921875,5.491544877934387,0.331143798828125,2.983669192672316,accelerometeruncalibrated,1.7510133824253384e+18,1.7510133850055416e+18,1.7510133875857482e+18,1.7510133901659604e+18,1.751013385005545e+18,1.7510133798451438e+18,2983669192.854204,0.0357437133789062,0.0399627685546875,0.0448226928710937,0.0698089599609375,0.0398581893083794,0.00958251953125,0.0075566165228204,-0.2275009155273437,-0.2223358154296875,-0.2177276611328125,-0.18731689453125,-0.2224367525396264,-0.2546234130859375,0.009100077090239,-0.9921340942382812,-0.987548828125,-0.9831390380859376,-0.8742523193359375,-0.9874633113504948,-1.0261993408203125,0.0086915232150167,,,,,,,,,,,,,,
,,,,,,,1038,2-01,2.913824401855469,5.491541137695313,8.069263061523438,10.646989501953126,5.491544949628945,0.33611474609375,2.980798953522536,gyroscopeuncalibrated,1.7510133824278244e+18,1.751013385005541e+18,1.751013387583263e+18,1.7510133901609894e+18,1.7510133850055447e+18,1.7510133798501148e+18,2980798953.5817766,-0.0280470140278338,-0.0050315100234001,0.0175306573510169,0.2855009734630584,-0.0030128102818938,-0.255828857421875,0.0421842155932685,0.0015255252365022,0.0125257787294685,0.0229274202138185,0.2849739491939544,0.0139463677562743,-0.1006491109728813,0.029370420911635,-0.0023922510445117,0.0045552037190645,0.0135541586205362,0.0836387053132057,0.0068240698205665,-0.0441155284643173,0.0169168651019215,,,,,,,,,,,,,,
,,,,,,,1049,2-02,2.757452392578125,5.388477294921875,8.019326171875,10.65029443359375,5.388389388238053,0.1264072265625,3.042312852508139,magnetometeruncalibrated,1.7510133980354524e+18,1.7510134006664773e+18,1.751013403297326e+18,1.7510134059282944e+18,1.7510134006663895e+18,1.7510133954044073e+18,3042312851.401129,-18.996871948242188,-18.71055603027344,-18.305984497070312,-17.50921630859375,-18.65047153003791,-19.77099609375,0.4521581916171248,-200.45553588867188,-200.095947265625,-199.6378326416016,-198.86045837402344,-200.0588015837256,-201.6790313720703,0.5149734638633301,-383.98541259765625,-383.616455078125,-383.3167114257813,-381.9810791015625,-383.6596230215067,-384.90081787109375,0.4754708169323137,,,,,,,,,,,,,,
-37.09047889709473,-35.413753509521484,-31.67421531677246,-17.980018615722656,-33.98144777538707,-40.89682769775391,4.46969833884144,103,2-02,2.631,5.198,7.798,10.45,5.2213495169334045,0.029,3.0425482899044223,microphone,1.7510133979090002e+18,1.751013400476e+18,1.7510134030760005e+18,1.751013405728e+18,1.7510134004993495e+18,1.751013395307e+18,3042548267.0737305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1060,2-02,2.7503577880859376,5.382791625976562,8.015228698730468,10.64767041015625,5.382794364497347,0.11792822265625,3.043979799154264,accelerometeruncalibrated,1.7510133980283576e+18,1.7510134006607916e+18,1.7510134032932288e+18,1.7510134059256704e+18,1.751013400660794e+18,1.7510133953959283e+18,3043979799.152618,0.0263824462890625,0.034942626953125,0.0530433654785156,0.0861053466796875,0.0383384272737323,-0.0389862060546875,0.0159858762567886,-0.2418174743652343,-0.2291183471679687,-0.2082366943359375,-0.18585205078125,-0.2262474204009434,-0.3108367919921875,0.0198932805425015,-0.9938812255859376,-0.9870681762695312,-0.9804840087890624,-0.89825439453125,-0.986795403822413,-1.0568084716796875,0.0161089172368495,,,,,,,,,,,,,,
,,,,,,,1060,2-02,2.7553287353515623,5.387763549804688,8.020199829101562,10.652641357421874,5.387765913132001,0.122900390625,3.043979805294274,gyroscopeuncalibrated,1.7510133980333286e+18,1.7510134006657636e+18,1.7510134032981998e+18,1.7510134059306414e+18,1.751013400665766e+18,1.7510133954009004e+18,3043979804.327859,-0.0366498893126844,-0.0086325034499168,0.0227617053315042,0.4660960733890533,-0.0090441691728318,-0.7301982641220093,0.0939554548034274,-0.0052675992483272,0.0147950579412281,0.0292373811826109,0.4886453151702881,0.0164099084132804,-0.2811786830425262,0.0642251677096048,-0.0070244868984445,0.0061356567312031,0.0179819306358694,0.1789668202400207,0.0041371347676397,-0.301448255777359,0.0417207597743525,,,,,,,,,,,,,,
,,,,,,,1056,2-03,2.768540771484375,5.416930297851563,8.065281677246094,10.71359912109375,5.416902522693981,0.12002783203125,3.062446539887268,magnetometeruncalibrated,1.7510134162885407e+18,1.7510134189369303e+18,1.7510134215852815e+18,1.7510134242335992e+18,1.7510134189369024e+18,1.751013413640028e+18,3062446538.003127,-20.076496124267575,-19.611572265625,-19.113677978515625,-18.175018310546875,-19.737647099928424,-22.549835205078125,0.8247032732095515,-196.46951293945307,-195.8766326904297,-195.42274856567383,-193.9906463623047,-196.0198113268072,-198.8448181152344,0.8382289868136882,-389.41883850097656,-389.0775146484376,-388.7347946166992,-387.18560791015625,-389.0684897393891,-390.5606689453125,0.5148734307908472,,,,,,,,,,,,,,
-37.43573570251465,-34.617780685424805,-31.46122121810913,-21.464296340942383,-34.40925843899067,-41.76607894897461,4.119760643066715,104,2-03,2.682,5.357,7.948,10.524,5.316269237811748,0.030000244140625,3.07661722198842,microphone,1.751013416202e+18,1.7510134188770002e+18,1.751013421468e+18,1.751013424044e+18,1.7510134188362693e+18,1.75101341355e+18,3076617238.566756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
