sensor_type,room,data_points,time_mean,time_std,time_min,time_max,time_25th,time_50th,time_75th,seconds_elapsed_mean,seconds_elapsed_std,seconds_elapsed_min,seconds_elapsed_max,seconds_elapsed_25th,seconds_elapsed_50th,seconds_elapsed_75th,steps_mean,steps_std,steps_min,steps_max,steps_25th,steps_50th,steps_75th,z_mean,z_std,z_min,z_max,z_25th,z_50th,z_75th,y_mean,y_std,y_min,y_max,y_25th,y_50th,y_75th,x_mean,x_std,x_min,x_max,x_25th,x_50th,x_75th,dBFS_mean,dBFS_std,dBFS_min,dBFS_max,dBFS_25th,dBFS_50th,dBFS_75th,relativeAltitude_mean,relativeAltitude_std,relativeAltitude_min,relativeAltitude_max,relativeAltitude_25th,relativeAltitude_50th,relativeAltitude_75th,pressure_mean,pressure_std,pressure_min,pressure_max,pressure_25th,pressure_50th,pressure_75th
pedometer,2-18,3,1.7510137999123612e+18,2545536896.00057,1.7510137973668252e+18,1.751013802457899e+18,1.7510137986395922e+18,1.7510137999123592e+18,1.7510138011851292e+18,3.048361083984375,2.5455368652349373,0.5028251953125,5.59389892578125,1.7755921630859375,3.048359130859375,4.321129028320312,4.0,0.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magnetometeruncalibrated,2-18,1070,1.751013802351542e+18,3103352411.118268,1.7510137969840527e+18,1.7510138077192704e+18,1.7510137996676718e+18,1.7510138023515318e+18,1.7510138050353352e+18,5.4875421728971965,3.1033524098302085,0.120052734375,10.8552705078125,2.803671875,5.48753173828125,8.171335021972656,,,,,,,,-400.31947107047677,0.5843422372888335,-401.7038269042969,-398.68560791015625,-400.7563629150391,-400.2928466796875,-399.8923797607422,-160.66917118535977,1.7742640796084201,-164.1389923095703,-155.29913330078125,-161.98360443115234,-160.8095703125,-159.76736450195312,-51.84186291560948,0.9216774333245004,-53.71839904785156,-49.8602294921875,-52.6353645324707,-51.894989013671875,-51.03290939331055,,,,,,,,,,,,,,,,,,,,,
microphone,2-18,107,1.7510138022458038e+18,3123495505.7219977,1.751013796897e+18,1.751013807574e+18,1.7510137995904998e+18,1.751013802241e+18,1.7510138049240003e+18,5.3818037474445095,3.123495511014208,0.033,10.710000244140623,2.7265,5.377,8.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-37.43303701810748,1.5223826977631323,-40.292911529541016,-33.3725700378418,-38.521467208862305,-37.542259216308594,-36.36760139465332,,,,,,,,,,,,,,
barometer,2-18,10,1.7510138007182467e+18,2833981011.2348156,1.751013796395502e+18,1.751013804951064e+18,1.7510137986468014e+18,1.7510138008980987e+18,1.751013802699765e+18,3.8542464843749995,2.8339809976477213,-0.468497802734375,8.08706396484375,1.782801513671875,4.0340986328124995,5.835765014648437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03223724365234372,0.014191564329183438,0.0,0.0475616455078125,0.031707763671875,0.0369949340820312,0.04095745086669915,1019.7646789550781,0.0017034045970623598,1019.762725830078,1019.7686767578124,1019.7637176513672,1019.7642517089844,1019.7645568847656
accelerometeruncalibrated,2-18,1080,1.7510138023444214e+18,3101512934.8319454,1.7510137969799025e+18,1.7510138077089405e+18,1.7510137996621583e+18,1.7510138023444216e+18,1.7510138050266819e+18,5.480421109347873,3.101512934221831,0.11590234375,10.8449404296875,2.7981582641601563,5.480421752929687,8.16268182373047,,,,,,,,-1.000873452645761,0.014922312489689093,-1.07275390625,-0.89990234375,-1.0093803405761719,-1.0012283325195312,-0.9917411804199219,-0.15154286137333622,0.035564698606142135,-0.2422332763671875,-0.0486602783203125,-0.1739501953125,-0.15296173095703125,-0.1339111328125,-0.044467120700412324,0.019943762755090046,-0.1692962646484375,0.0133819580078125,-0.05615997314453125,-0.04262542724609375,-0.030551910400390625,,,,,,,,,,,,,,,,,,,,,
gyroscopeuncalibrated,2-18,1080,1.7510138023444214e+18,3101512934.8319454,1.7510137969799025e+18,1.7510138077089405e+18,1.7510137996621583e+18,1.7510138023444216e+18,1.7510138050266819e+18,5.480421109347873,3.101512934221831,0.11590234375,10.8449404296875,2.7981582641601563,5.480421752929687,8.16268182373047,,,,,,,,-0.0037584675268320785,0.05699289612020211,-0.2422011792659759,0.1465798467397689,-0.0303142960183322,0.00492098904214795,0.0290022231638431,0.012950381684964258,0.06645843829632538,-0.2972034513950348,0.4876967072486877,-0.02241902239620685,0.01124559715390205,0.045058822259306894,0.0008046554888062862,0.08404679996188924,-0.4474496841430664,0.2882254123687744,-0.04513538721948855,0.008318915963172899,0.0522915683686733,,,,,,,,,,,,,,,,,,,,,
