sensor_type,room,data_points,time_mean,time_std,time_min,time_max,time_25th,time_50th,time_75th,seconds_elapsed_mean,seconds_elapsed_std,seconds_elapsed_min,seconds_elapsed_max,seconds_elapsed_25th,seconds_elapsed_50th,seconds_elapsed_75th,z_mean,z_std,z_min,z_max,z_25th,z_50th,z_75th,y_mean,y_std,y_min,y_max,y_25th,y_50th,y_75th,x_mean,x_std,x_min,x_max,x_25th,x_50th,x_75th,dBFS_mean,dBFS_std,dBFS_min,dBFS_max,dBFS_25th,dBFS_50th,dBFS_75th
magnetometeruncalibrated,2-10,1049,1.7510136522588006e+18,3042474115.4535956,1.7510136469966682e+18,1.7510136575210033e+18,1.751013649627707e+18,1.751013652258764e+18,1.7510136548898926e+18,5.393800500104265,3.0424741150479866,0.131668212890625,10.656003173828124,2.762706787109375,5.393763916015625,8.024892578125,-393.9307411273851,0.6037113484702366,-395.61663818359375,-391.4732360839844,-394.33880615234375,-393.9756774902344,-393.5989990234375,-200.1583603094372,0.7542116463165381,-202.66737365722656,-198.77960205078125,-200.4952087402344,-199.9617462158203,-199.63909912109372,-16.69008539743487,0.5887043866051007,-18.463455200195312,-15.454254150390623,-17.103500366210938,-16.519073486328125,-16.237106323242188,,,,,,,
microphone,2-10,105,1.7510136521444572e+18,3071012549.3448873,1.751013646898e+18,1.751013657372e+18,1.751013649522e+18,1.75101365214e+18,1.751013654772e+18,5.279457138206844,3.0710125492033002,0.032999755859375,10.507,2.656999755859375,5.275,7.907,,,,,,,,,,,,,,,,,,,,,,-33.07791012355259,1.0759995727678677,-36.28793716430664,-30.725753784179688,-33.7913703918457,-33.15449142456055,-32.46619415283203
accelerometeruncalibrated,2-10,1060,1.7510136522550781e+18,3044081138.7990994,1.751013646990031e+18,1.7510136575201231e+18,1.751013649622555e+18,1.7510136522550784e+18,1.7510136548876012e+18,5.3900781376676745,3.0440811383343425,0.125031005859375,10.655123046875,2.7575549926757814,5.390078369140625,8.022601196289061,-0.9833100228939416,0.012934418548679359,-1.0956268310546875,-0.868804931640625,-0.9896316528320312,-0.9842681884765624,-0.9791412353515624,-0.239432784746278,0.021360619484272862,-0.3524627685546875,-0.1992340087890625,-0.24966812133789062,-0.232513427734375,-0.22361373901367188,0.055508451641730544,0.013984824950764356,-0.004608154296875,0.1109161376953125,0.0492095947265625,0.06009674072265625,0.06529998779296875,,,,,,,
gyroscopeuncalibrated,2-10,1059,1.7510136522550781e+18,3041210715.4517927,1.751013646995002e+18,1.7510136575151514e+18,1.751013649625041e+18,1.751013652255079e+18,1.751013654885115e+18,5.390078136757481,3.0412107160150215,0.130002197265625,10.6501513671875,2.760040771484375,5.390078857421875,8.020114868164063,0.003571389062626159,0.05439060320220335,-0.2860772907733917,0.2450310587882995,-0.015387744642794101,0.0052781188860535,0.02423716243356465,0.017005666525266746,0.055604264643305396,-0.2161016762256622,0.5849452018737793,-0.00100254698190835,0.0152692338451743,0.0323166605085134,-0.014918799730810168,0.05756950062001621,-0.4435337781906128,0.4480369091033935,-0.03534187935292715,-0.0141480434685945,0.00929949246346945,,,,,,,
