sensor_type,room,data_points,time_mean,time_std,time_min,time_max,time_25th,time_50th,time_75th,seconds_elapsed_mean,seconds_elapsed_std,seconds_elapsed_min,seconds_elapsed_max,seconds_elapsed_25th,seconds_elapsed_50th,seconds_elapsed_75th,z_mean,z_std,z_min,z_max,z_25th,z_50th,z_75th,y_mean,y_std,y_min,y_max,y_25th,y_50th,y_75th,x_mean,x_std,x_min,x_max,x_25th,x_50th,x_75th,dbfs_mean,dbfs_std,dbfs_min,dbfs_max,dbfs_25th,dbfs_50th,dbfs_75th,relativealtitude_mean,relativealtitude_std,relativealtitude_min,relativealtitude_max,relativealtitude_25th,relativealtitude_50th,relativealtitude_75th,pressure_mean,pressure_std,pressure_min,pressure_max,pressure_25th,pressure_50th,pressure_75th
magnetometeruncalibrated,2-23,1080,1.7510139712340867e+18,3132236864.618954,1.7510139658164577e+18,1.7510139766517645e+18,1.751013968525233e+18,1.7510139712341043e+18,1.7510139739428966e+18,5.536086546043114,3.1322368664154356,0.118457763671875,10.953764404296876,2.8272327270507813,5.5361043701171875,8.244896423339844,-397.2308499654134,0.4299189825801174,-398.39447021484375,-395.9645690917969,-397.512939453125,-397.23150634765625,-396.94812774658203,-159.29758563571505,0.6260142686047508,-160.69419860839844,-157.5281982421875,-159.74357223510742,-159.38384246826172,-158.85255432128906,-53.31634079262062,0.5276168513837798,-54.5389404296875,-51.66908264160156,-53.696102142333984,-53.41465759277344,-53.02431106567383,,,,,,,,,,,,,,,,,,,,,
microphone,2-23,107,1.7510139711230372e+18,3148378568.2816405,1.751013965727e+18,1.751013976497e+18,1.751013968464e+18,1.751013971114e+18,1.7510139738085002e+18,5.425037380895882,3.1483785805670177,0.029,10.799,2.766,5.415999755859375,8.110500122070313,,,,,,,,,,,,,,,,,,,,,,-33.78432592944564,1.1999058134829879,-36.52463912963867,-31.239200592041016,-34.612491607666016,-33.857078552246094,-33.01415824890137,,,,,,,,,,,,,,
barometer,2-23,10,1.7510139695743729e+18,2833980539.928213,1.7510139652516342e+18,1.751013973807191e+18,1.7510139675029228e+18,1.7510139697542205e+18,1.7510139715558943e+18,3.8763727050781256,2.833980524716039,-0.44636572265625,8.10919091796875,1.8049227905273437,4.056220581054688,5.857894348144532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03223533630371095,0.06032902906565652,-0.0158538818359375,0.158538818359375,-0.00924968719482415,0.0026416778564453,0.05680847167968747,1019.7887802124023,0.007260829747187937,1019.7734832763672,1019.7943115234376,1019.7858619689941,1019.7924423217773,1019.7937202453614
accelerometeruncalibrated,2-23,1090,1.751013971229585e+18,3130292829.624484,1.7510139658152218e+18,1.7510139766439565e+18,1.751013968522398e+18,1.751013971229581e+18,1.7510139739367688e+18,5.531584840435063,3.130292830164204,0.1172216796875,10.94595654296875,2.8243978881835936,5.5315810546875,8.238768859863281,-1.0092981460991255,0.01326317966862899,-1.0851898193359375,-0.9290008544921876,-1.0164299011230469,-1.00927734375,-1.0021820068359375,-0.09866285411589737,0.017832772505079978,-0.1457977294921875,-0.044708251953125,-0.11155319213867188,-0.10117340087890625,-0.08579635620117188,-0.022074092200043003,0.018381098758291293,-0.067535400390625,0.0449371337890625,-0.03400421142578125,-0.023162841796875,-0.0124664306640625,,,,,,,,,,,,,,,,,,,,,
gyroscopeuncalibrated,2-23,1090,1.751013971229585e+18,3130292829.624484,1.7510139658152218e+18,1.7510139766439565e+18,1.751013968522398e+18,1.751013971229581e+18,1.7510139739367688e+18,5.531584840435063,3.130292830164204,0.1172216796875,10.94595654296875,2.8243978881835936,5.5315810546875,8.238768859863281,0.0020517447851080223,0.05252552593897572,-0.1631622910499572,0.1435563713312149,-0.028340760618448174,0.00290417717769735,0.03484406694769855,0.010068075783397027,0.05699120731865733,-0.2802968919277191,0.2752752602100372,-0.020535701420158075,0.0118100540712475,0.04041313473135232,-0.011002308639798255,0.0782498142272031,-0.4027309417724609,0.2867015302181244,-0.04670478776097295,-0.0077524618245660495,0.02718281792476765,,,,,,,,,,,,,,,,,,,,,
