sensor_type,room,data_points,time_mean,time_std,time_min,time_max,time_25th,time_50th,time_75th,seconds_elapsed_mean,seconds_elapsed_std,seconds_elapsed_min,seconds_elapsed_max,seconds_elapsed_25th,seconds_elapsed_50th,seconds_elapsed_75th,steps_mean,steps_std,steps_min,steps_max,steps_25th,steps_50th,steps_75th,z_mean,z_std,z_min,z_max,z_25th,z_50th,z_75th,y_mean,y_std,y_min,y_max,y_25th,y_50th,y_75th,x_mean,x_std,x_min,x_max,x_25th,x_50th,x_75th,dbfs_mean,dbfs_std,dbfs_min,dbfs_max,dbfs_25th,dbfs_50th,dbfs_75th,relativealtitude_mean,relativealtitude_std,relativealtitude_min,relativealtitude_max,relativealtitude_25th,relativealtitude_50th,relativealtitude_75th,pressure_mean,pressure_std,pressure_min,pressure_max,pressure_25th,pressure_50th,pressure_75th
pedometer,2-03,2,1.751013416814313e+18,1799906211.99295,1.7510134155415872e+18,1.751013418087039e+18,1.7510134161779502e+18,1.751013416814313e+18,1.751013417450676e+18,3.2943131103515624,1.799906302712531,2.021587158203125,4.5670390625,2.657950134277344,3.2943131103515624,3.9306760864257813,8.0,0.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magnetometeruncalibrated,2-03,1056,1.7510134189369024e+18,3062446538.003127,1.751013413640028e+18,1.7510134242335992e+18,1.7510134162885407e+18,1.7510134189369303e+18,1.7510134215852815e+18,5.416902522693981,3.0624465398872673,0.12002783203125,10.71359912109375,2.768540771484375,5.416930297851563,8.065281677246094,,,,,,,,-389.0684897393891,0.5148734307908472,-390.5606689453125,-387.18560791015625,-389.41883850097656,-389.07751464843756,-388.7347946166992,-196.0198113268072,0.8382289868136882,-198.8448181152344,-193.9906463623047,-196.46951293945307,-195.8766326904297,-195.42274856567383,-19.737647099928424,0.8247032732095515,-22.549835205078125,-18.175018310546875,-20.076496124267578,-19.611572265625,-19.113677978515625,,,,,,,,,,,,,,,,,,,,,
microphone,2-03,104,1.7510134188362693e+18,3076617238.5667553,1.75101341355e+18,1.751013424044e+18,1.7510134162020001e+18,1.7510134188770002e+18,1.751013421468e+18,5.316269237811748,3.0766172219884202,0.030000244140625,10.524,2.682,5.357,7.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34.40925843899067,4.119760643066715,-41.76607894897461,-21.464296340942383,-37.43573570251465,-34.617780685424805,-31.461221218109134,,,,,,,,,,,,,,
barometer,2-03,10,1.7510134173855956e+18,2834038631.3391066,1.7510134130627994e+18,1.7510134216184924e+18,1.7510134153140943e+18,1.7510134175653947e+18,1.7510134193671972e+18,3.8655958251953124,2.8340386563025968,-0.45720068359375,8.098492431640626,1.79409423828125,4.0453947753906245,5.847197143554688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07556991577148436,0.04146586127543059,0.0,0.1268310546875,0.04756069183349607,0.095123291015625,0.09908580780029294,1019.8646774291992,0.004933157300525469,1019.8584747314452,1019.8734283447266,1019.8615455627441,1019.8625183105468,1019.8680305480957
accelerometeruncalibrated,2-03,1067,1.751013418936209e+18,3064097006.2578473,1.7510134136365007e+18,1.7510134242359283e+18,1.7510134162863496e+18,1.7510134189362094e+18,1.751013421586064e+18,5.416208672964138,3.0640970056983843,0.116500732421875,10.71592822265625,2.766349487304687,5.41620947265625,8.066063842773438,,,,,,,,-0.9941547683386905,0.0180858372592906,-1.053192138671875,-0.8609771728515625,-1.0031585693359375,-0.9945831298828124,-0.9861907958984376,-0.19233194510290974,0.024820597753602937,-0.277099609375,-0.14117431640625,-0.209564208984375,-0.1872711181640625,-0.17533111572265625,0.04037745868143012,0.025535021751854778,-0.03759765625,0.099395751953125,0.0222320556640625,0.0404510498046875,0.06015777587890625,,,,,,,,,,,,,,,,,,,,,
gyroscopeuncalibrated,2-03,1067,1.751013418936209e+18,3064097006.2578473,1.7510134136365007e+18,1.7510134242359283e+18,1.7510134162863496e+18,1.7510134189362094e+18,1.751013421586064e+18,5.416208672964138,3.0640970056983843,0.116500732421875,10.71592822265625,2.766349487304687,5.41620947265625,8.066063842773438,,,,,,,,0.016231567155115815,0.07693622003239069,-0.1960102468729019,0.2867295145988464,-0.0250725960358977,0.0073567163199186,0.04512872919440265,0.018967271266011436,0.08895539508712748,-0.4457021057605743,0.3606876134872436,-0.02055068220943205,0.0181808676570653,0.0559526141732931,-0.007972922215618768,0.10509496818051409,-0.4853741526603699,0.4835514724254608,-0.06398031488060946,-0.0143773416057229,0.0358393564820289,,,,,,,,,,,,,,,,,,,,,
