sensor_type,room,data_points,time_mean,time_std,time_min,time_max,time_25th,time_50th,time_75th,seconds_elapsed_mean,seconds_elapsed_std,seconds_elapsed_min,seconds_elapsed_max,seconds_elapsed_25th,seconds_elapsed_50th,seconds_elapsed_75th,z_mean,z_std,z_min,z_max,z_25th,z_50th,z_75th,y_mean,y_std,y_min,y_max,y_25th,y_50th,y_75th,x_mean,x_std,x_min,x_max,x_25th,x_50th,x_75th,dbfs_mean,dbfs_std,dbfs_min,dbfs_max,dbfs_25th,dbfs_50th,dbfs_75th,relativealtitude_mean,relativealtitude_std,relativealtitude_min,relativealtitude_max,relativealtitude_25th,relativealtitude_50th,relativealtitude_75th,pressure_mean,pressure_std,pressure_min,pressure_max,pressure_25th,pressure_50th,pressure_75th
magnetometeruncalibrated,2-13,1057,1.7510137049183222e+18,3065570220.4452114,1.7510136996159967e+18,1.7510137102204948e+18,1.7510137022672468e+18,1.7510137049184502e+18,1.7510137075693773e+18,5.432321999079796,3.0655702206340383,0.12999658203125,10.734494873046875,2.781246826171875,5.4324501953125,8.083377197265625,-405.3014035833931,0.36136700639843583,-406.5738525390625,-404.2244262695313,-405.5610961914063,-405.2807312011719,-405.08489990234375,-169.9033625953696,0.3840555739636068,-171.03759765625,-168.56321716308594,-170.14736938476562,-169.9354705810547,-169.65953063964844,-14.4804630766754,0.2515534851859824,-15.224853515625,-13.706253051757812,-14.64556884765625,-14.483306884765623,-14.317550659179688,,,,,,,,,,,,,,,,,,,,,
microphone,2-13,105,1.7510137047974098e+18,3099233390.5768294,1.751013699515e+18,1.751013710069e+18,1.751013702153e+18,1.751013704803e+18,1.751013707469e+18,5.311409523809524,3.099233399847104,0.029,10.583,2.667,5.317,7.983,,,,,,,,,,,,,,,,,,,,,,-38.9046323685419,2.6166741906010245,-42.553001403808594,-29.03557777404785,-40.47123336791992,-39.582298278808594,-38.10932922363281,,,,,,,,,,,,,,
barometer,2-13,10,1.7510137033428557e+18,2833981996.5125856,1.7510136990201126e+18,1.7510137075756756e+18,1.7510137012714104e+18,1.7510137035227057e+18,1.7510137053243766e+18,3.8568558105468753,2.833981995231555,-0.465887451171875,8.089675537109375,1.7854103393554688,4.036705688476562,5.838376525878906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13422889709472657,0.07095346715252669,0.0,0.19024658203125,0.09115791320800777,0.16910743713378906,0.18760395050048828,1019.8255310058594,0.00853468266349288,1019.8186492919922,1019.8416900634766,1019.8189353942871,1019.8217010498047,1019.8306274414062
accelerometeruncalibrated,2-13,1067,1.7510137049144033e+18,3064171543.312383,1.7510136996145577e+18,1.7510137102142477e+18,1.751013702264482e+18,1.751013704914403e+18,1.7510137075643249e+18,5.428403461946096,3.0641715436486776,0.1285576171875,10.72824755859375,2.7784820556640626,5.428403076171875,8.078324829101563,-0.9743171413031938,0.0055430279598155194,-0.9935760498046876,-0.9317474365234376,-0.9779205322265624,-0.9741058349609376,-0.9703750610351562,-0.2726255808350296,0.007676148588621846,-0.28961181640625,-0.250579833984375,-0.277496337890625,-0.2732391357421875,-0.2690277099609375,0.053609288509694236,0.005252623996148202,0.0313568115234375,0.0820465087890625,0.05019378662109375,0.053436279296875,0.056640625,,,,,,,,,,,,,,,,,,,,,
gyroscopeuncalibrated,2-13,1068,1.7510137049144033e+18,3067041970.7288723,1.7510136996095867e+18,1.7510137102192197e+18,1.7510137022619968e+18,1.7510137049144033e+18,1.7510137075668111e+18,5.428403464556633,3.067041970991752,0.123586669921875,10.7332197265625,2.775996826171875,5.4284033203124995,8.080811157226563,0.004040016355086679,0.011978592766854777,-0.0464330129325389,0.0603035539388656,-0.0030909978668204998,0.00376930495258415,0.0103250092361122,0.013217179593709473,0.018479312439224748,-0.0844126194715499,0.1012957245111465,0.0020772655843756247,0.0123127261176705,0.0230882745236158,-0.004894129242619154,0.025069667494161632,-0.1624850481748581,0.099444568157196,-0.019079818390309776,-0.00463576451875265,0.010291852522641375,,,,,,,,,,,,,,,,,,,,,
