sensor_type,room,data_points,time_mean,time_std,time_min,time_max,time_25th,time_50th,time_75th,seconds_elapsed_mean,seconds_elapsed_std,seconds_elapsed_min,seconds_elapsed_max,seconds_elapsed_25th,seconds_elapsed_50th,seconds_elapsed_75th,steps_mean,steps_std,steps_min,steps_max,steps_25th,steps_50th,steps_75th,z_mean,z_std,z_min,z_max,z_25th,z_50th,z_75th,y_mean,y_std,y_min,y_max,y_25th,y_50th,y_75th,x_mean,x_std,x_min,x_max,x_25th,x_50th,x_75th,dbfs_mean,dbfs_std,dbfs_min,dbfs_max,dbfs_25th,dbfs_50th,dbfs_75th,relativealtitude_mean,relativealtitude_std,relativealtitude_min,relativealtitude_max,relativealtitude_25th,relativealtitude_50th,relativealtitude_75th,pressure_mean,pressure_std,pressure_min,pressure_max,pressure_25th,pressure_50th,pressure_75th
pedometer,2-17,2,1.7510137757298314e+18,1799949837.6529129,1.7510137744570747e+18,1.7510137770025882e+18,1.751013775093453e+18,1.7510137757298314e+18,1.7510137763662098e+18,1.9918314208984376,1.7999498063523893,0.71907470703125,3.264588134765625,1.3554530639648439,1.9918314208984376,2.6282097778320312,8.0,0.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magnetometeruncalibrated,2-17,1071,1.751013779220094e+18,3106175210.746141,1.7510137738476444e+18,1.751013784592467e+18,1.7510137765338127e+18,1.7510137792201147e+18,1.7510137819063293e+18,5.482094160776289,3.106175214723296,0.10964453125,10.854467041015624,2.7958128662109374,5.48211474609375,8.168329223632812,,,,,,,,-398.23591039605947,0.46445200298948847,-399.4110107421875,-396.9127197265625,-398.58851623535156,-398.24017333984375,-397.8920440673828,-157.00600000946017,0.41814296231912595,-158.2684783935547,-155.9622344970703,-157.29845428466797,-156.9922637939453,-156.6901092529297,-51.3541593863294,0.59617066687936,-52.8856201171875,-50.05191040039063,-51.76387023925781,-51.221282958984375,-50.994873046875,,,,,,,,,,,,,,,,,,,,,
microphone,2-17,106,1.7510137791160755e+18,3131109488.94793,1.751013773764e+18,1.75101378447e+18,1.75101377642625e+18,1.7510137791434998e+18,1.751013781776e+18,5.378075469394901,3.131109482169241,0.026,10.732000244140623,2.688250061035156,5.405499877929688,8.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.331372099102666,1.2940849406037,-35.801753997802734,-29.58106231689453,-34.245408058166504,-33.39374351501465,-32.78535270690919,,,,,,,,,,,,,,
barometer,2-17,10,1.751013777585086e+18,2833984321.3881755,1.751013773262335e+18,1.7510137818179e+18,1.751013775513634e+18,1.7510137777649574e+18,1.7510137795666038e+18,3.8470859374999997,2.8339843554757396,-0.4756650390625,8.079900146484375,1.775634033203125,4.0269575195312495,5.828603820800781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.024837875366210897,0.018981052425418737,-0.0422782897949218,0.0,-0.0422782897949218,-0.029064178466796847,-0.005284309387207025,1019.7566909790039,0.002268510370597213,1019.7534942626952,1019.758758544922,1019.7544479370118,1019.7572326660156,1019.758758544922
accelerometeruncalibrated,2-17,1082,1.7510137792160364e+18,3107230150.3001194,1.7510137738416174e+18,1.751013784590465e+18,1.751013776528824e+18,1.751013779216036e+18,1.7510137819032466e+18,5.4780362399906855,3.107230148407493,0.103617431640625,10.852465087890623,2.7908240966796876,5.4780361328125,8.165246643066407,,,,,,,,-1.0052940805826522,0.010144179709611746,-1.040496826171875,-0.9755096435546876,-1.0113029479980469,-1.005126953125,-0.9991073608398438,-0.1284834461599974,0.016836716374617616,-0.16650390625,-0.079498291015625,-0.14321517944335938,-0.1291961669921875,-0.115447998046875,-0.02708358905672366,0.011472672987382547,-0.0648956298828125,0.0034027099609375,-0.033100128173828125,-0.02503204345703125,-0.01927947998046875,,,,,,,,,,,,,,,,,,,,,
gyroscopeuncalibrated,2-17,1082,1.7510137792160364e+18,3107230150.3001194,1.7510137738416174e+18,1.751013784590465e+18,1.751013776528824e+18,1.751013779216036e+18,1.7510137819032466e+18,5.4780362399906855,3.107230148407493,0.103617431640625,10.852465087890623,2.7908240966796876,5.4780361328125,8.165246643066407,,,,,,,,0.003496651498606435,0.039686790578235084,-0.1933790445327758,0.1393032968044281,-0.01691087242215865,0.0015448997728526,0.0230968631803989,0.013737931400538009,0.03965221016964625,-0.2581835985183716,0.170725405216217,-0.005883122561499425,0.01344883022829885,0.034218691289424875,-0.01065882964574117,0.04310013711722885,-0.1929012835025787,0.1127185598015785,-0.03445824235677715,-0.01009497838094825,0.013519071042537625,,,,,,,,,,,,,,,,,,,,,
