sensor_type,room,data_points,time_mean,time_std,time_min,time_max,time_25th,time_50th,time_75th,seconds_elapsed_mean,seconds_elapsed_std,seconds_elapsed_min,seconds_elapsed_max,seconds_elapsed_25th,seconds_elapsed_50th,seconds_elapsed_75th,z_mean,z_std,z_min,z_max,z_25th,z_50th,z_75th,y_mean,y_std,y_min,y_max,y_25th,y_50th,y_75th,x_mean,x_std,x_min,x_max,x_25th,x_50th,x_75th,dBFS_mean,dBFS_std,dBFS_min,dBFS_max,dBFS_25th,dBFS_50th,dBFS_75th,relativeAltitude_mean,relativeAltitude_std,relativeAltitude_min,relativeAltitude_max,relativeAltitude_25th,relativeAltitude_50th,relativeAltitude_75th,pressure_mean,pressure_std,pressure_min,pressure_max,pressure_25th,pressure_50th,pressure_75th
magnetometeruncalibrated,2-16,1093,1.7510137606134523e+18,3169885792.915267,1.7510137551305828e+18,1.751013766096312e+18,1.7510137578720207e+18,1.7510137606134525e+18,1.7510137633549202e+18,5.6024524249664065,3.169885790703559,0.119582763671875,11.08531201171875,2.861020751953125,5.60245263671875,8.343920166015625,-400.14811473403194,0.5218733289532348,-401.6741333007813,-398.63720703125,-400.4749145507813,-400.1272583007813,-399.83099365234375,-157.18370233450258,0.904703957447806,-159.42559814453125,-154.83108520507812,-157.9014892578125,-156.98548889160156,-156.578369140625,-50.86038228948511,0.8451197111049226,-53.213470458984375,-49.22679138183594,-51.37384033203125,-50.82072448730469,-50.17088317871094,,,,,,,,,,,,,,,,,,,,,
microphone,2-16,108,1.75101376051787e+18,3195469314.7150106,1.751013755041e+18,1.75101376594e+18,1.75101375778225e+18,1.751013760558e+18,1.75101376324975e+18,5.5068703771520555,3.1954693189385277,0.03,10.929,2.7712499999999998,5.547000000000001,8.23875,,,,,,,,,,,,,,,,,,,,,,-37.03311347961426,1.5626633344629404,-40.35307312011719,-33.145206451416016,-38.148338317871094,-37.05927848815918,-36.1383638381958,,,,,,,,,,,,,,
barometer,2-16,10,1.751013758894454e+18,2833979987.7900944,1.7510137545717071e+18,1.751013763127264e+18,1.7510137568230034e+18,1.7510137590743296e+18,1.7510137608759688e+18,3.8834540283203127,2.8339799913221184,-0.43929296875,8.116263916015624,1.8120033569335936,4.063329711914062,5.86496875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08138236999511717,0.03836745396875813,0.0,0.1162605285644531,0.07266235351562497,0.0898361206054687,0.1109771728515625,1019.7771606445312,0.004614897363487947,1019.77294921875,1019.7872161865234,1019.7737121582032,1019.7760772705078,1019.7780609130858
accelerometeruncalibrated,2-16,1103,1.7510137606070807e+18,3167498974.3806252,1.7510137551282696e+18,1.7510137660858941e+18,1.7510137578676744e+18,1.7510137606070833e+18,1.751013763346486e+18,5.596080842198833,3.167498973211708,0.11726953125,11.07489404296875,2.8566744384765625,5.596083251953125,8.335485961914063,-1.0084419561750977,0.013540708007898292,-1.0872344970703125,-0.9067840576171876,-1.0152664184570312,-1.008636474609375,-1.001190185546875,-0.1036707306599898,0.022028954806622033,-0.1747283935546875,-0.040252685546875,-0.1156768798828125,-0.103363037109375,-0.09120941162109375,-0.004053581009533658,0.021689197091057353,-0.0684967041015625,0.051910400390625,-0.017059326171875,-0.0048675537109375,0.010223388671875,,,,,,,,,,,,,,,,,,,,,
gyroscopeuncalibrated,2-16,1103,1.7510137606070807e+18,3167498974.3806252,1.7510137551282696e+18,1.7510137660858941e+18,1.7510137578676744e+18,1.7510137606070833e+18,1.751013763346486e+18,5.596080842198833,3.167498973211708,0.11726953125,11.07489404296875,2.8566744384765625,5.596083251953125,8.335485961914063,0.010413901766473187,0.06314419272861545,-0.2563516199588775,0.270401656627655,-0.020530308596789802,0.0133158052340149,0.0425975285470485,0.007787522439844796,0.08044110289403678,-0.4156310260295868,0.3815225958824157,-0.02812005113810295,0.0061803977005183,0.04271310754120345,-0.009178734616842725,0.09604791812799078,-0.5056991577148438,0.2618414759635925,-0.0571499709039926,-0.0052168662659823,0.0450044926255941,,,,,,,,,,,,,,,,,,,,,
