sensor_type,room,data_points,time_mean,time_std,time_min,time_max,time_25th,time_50th,time_75th,seconds_elapsed_mean,seconds_elapsed_std,seconds_elapsed_min,seconds_elapsed_max,seconds_elapsed_25th,seconds_elapsed_50th,seconds_elapsed_75th,z_mean,z_std,z_min,z_max,z_25th,z_50th,z_75th,y_mean,y_std,y_min,y_max,y_25th,y_50th,y_75th,x_mean,x_std,x_min,x_max,x_25th,x_50th,x_75th,dBFS_mean,dBFS_std,dBFS_min,dBFS_max,dBFS_25th,dBFS_50th,dBFS_75th,relativeAltitude_mean,relativeAltitude_std,relativeAltitude_min,relativeAltitude_max,relativeAltitude_25th,relativeAltitude_50th,relativeAltitude_75th,pressure_mean,pressure_std,pressure_min,pressure_max,pressure_25th,pressure_50th,pressure_75th
magnetometeruncalibrated,2-25,1104,1.7510140079073736e+18,3201555128.2642655,1.7510140023694318e+18,1.7510140134449805e+18,1.751014005138582e+18,1.7510140079074972e+18,1.7510140106762079e+18,5.659373560366423,3.2015551272122433,0.121431884765625,11.19698046875,2.890581848144531,5.659497192382813,8.428207946777345,-394.96196791054547,0.4534968593988695,-396.6395568847656,-393.7446594238281,-395.2174987792969,-394.9016418457031,-394.6448059082031,-158.78785343446594,0.6323327629771053,-160.21755981445312,-156.62509155273438,-159.21663665771484,-158.79303741455078,-158.42440795898438,-52.26942449376203,0.7962459944460801,-53.85076904296875,-49.871337890625,-52.84441757202149,-52.502838134765625,-51.91274642944336,,,,,,,,,,,,,,,,,,,,,
microphone,2-25,109,1.7510140077803853e+18,3221673344.066794,1.751014002279e+18,1.751014013294e+18,1.751014005027e+18,1.751014007777e+18,1.751014010527e+18,5.532385325580562,3.2216733746534705,0.031,11.046000244140624,2.779,5.529,8.279,,,,,,,,,,,,,,,,,,,,,,-39.13419566023241,2.003902294768314,-43.2852897644043,-32.9866943359375,-40.2900619506836,-39.50358963012695,-38.00504302978516,,,,,,,,,,,,,,
barometer,2-25,10,1.7510140061152192e+18,2834036993.1776323,1.7510140017924155e+18,1.7510140103480302e+18,1.7510140040437158e+18,1.751014006295012e+18,1.7510140080970153e+18,3.867219189453125,2.8340369855573093,-0.45558447265625,8.1000302734375,1.7957158203124999,4.047011962890625,5.849015258789063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08191299438476558,0.04200092872028056,0.0,0.1268310546875,0.06077575683593745,0.09776687622070306,0.10965633392333983,1019.8025588989258,0.004968481087630269,1019.7972869873048,1019.812240600586,1019.7990417480469,1019.8007583618164,1019.8050308227539
accelerometeruncalibrated,2-25,1115,1.751014007906747e+18,3202024512.414936,1.751014002368134e+18,1.7510140134453563e+18,1.7510140051374438e+18,1.7510140079067507e+18,1.7510140106760527e+18,5.658747043380396,3.2020245110047503,0.1201337890625,11.197356201171877,2.88944384765625,5.658750732421875,8.428052612304686,-1.0047777389731642,0.014715030623970492,-1.069854736328125,-0.960357666015625,-1.0142898559570312,-1.004669189453125,-0.9949951171875,-0.12981485272736829,0.021115844847998045,-0.18157958984375,-0.0570220947265625,-0.14397430419921875,-0.1332855224609375,-0.12053680419921875,-0.03697658932262472,0.028736328001236305,-0.0943450927734375,0.03289794921875,-0.0606231689453125,-0.0408782958984375,-0.01424407958984375,,,,,,,,,,,,,,,,,,,,,
gyroscopeuncalibrated,2-25,1115,1.751014007906747e+18,3202024512.414936,1.751014002368134e+18,1.7510140134453563e+18,1.7510140051374438e+18,1.7510140079067507e+18,1.7510140106760527e+18,5.658747043380396,3.2020245110047503,0.1201337890625,11.197356201171877,2.88944384765625,5.658750732421875,8.428052612304686,0.004045423083883708,0.045961347005997605,-0.1884844303131103,0.144394189119339,-0.02257987763732665,0.0035646411124616,0.0328423678874969,0.007101357024517469,0.06373053406409074,-0.2659211456775665,0.3192909061908722,-0.02852192241698495,0.0075362133793532,0.0423489212989807,-0.0013869692065831048,0.06843963597109176,-0.2297596931457519,0.2616460025310516,-0.040744632482528645,-0.004881574306637,0.03464825823903075,,,,,,,,,,,,,,,,,,,,,
