time,seconds_elapsed,z,y,x
1751013682976220000,0.125219970703125,-394.3782958984375,-194.48794555664062,-16.375503540039062
1751013682986261800,0.13526171875,-393.9311218261719,-194.491943359375,-16.89923095703125
1751013682996305000,0.145304931640625,-393.9434814453125,-194.07577514648438,-16.395492553710938
1751013683006347000,0.155346923828125,-394.0457763671875,-193.90771484375,-16.230850219726562
1751013683016388900,0.165388916015625,-394.24700927734375,-193.8830108642578,-16.405181884765625
1751013683026430000,0.175429931640625,-394.32244873046875,-194.34378051757812,-16.46929931640625
1751013683036470800,0.185470703125,-394.8030700683594,-194.19674682617188,-16.476303100585938
1751013683046510000,0.195510009765625,-393.52996826171875,-193.97406005859375,-16.132781982421875
1751013683056552000,0.205552001953125,-394.097900390625,-194.60899353027344,-16.287445068359375
1751013683066592000,0.215592041015625,-393.75634765625,-194.69479370117188,-16.257614135742188
1751013683076632000,0.225632080078125,-393.511962890625,-194.56149291992188,-15.964035034179688
1751013683086670800,0.2356708984375,-394.1046142578125,-194.57823181152344,-16.270599365234375
1751013683096710000,0.2457099609375,-393.85308837890625,-194.81378173828125,-15.947525024414062
1751013683106751000,0.2557509765625,-394.03082275390625,-194.70266723632812,-16.1278076171875
1751013683116791000,0.265791015625,-393.97479248046875,-194.5850372314453,-16.027145385742188
1751013683126832000,0.27583203125,-394.2686767578125,-194.84341430664062,-15.97320556640625
1751013683136873000,0.285873046875,-393.947509765625,-194.65994262695312,-16.475662231445312
1751013683146914000,0.2959140625,-394.2474365234375,-194.3134307861328,-16.469680786132812
1751013683156956000,0.305955810546875,-394.36199951171875,-194.40377807617188,-16.513748168945312
1751013683166997000,0.3159970703125,-393.7348327636719,-194.27964782714844,-16.348526000976562
1751013683177038000,0.3260380859375,-393.994140625,-194.27871704101562,-16.736724853515625
1751013683187078000,0.336077880859375,-393.52978515625,-194.33534240722656,-16.374664306640625
1751013683197117700,0.34611767578125,-393.87274169921875,-194.31053161621094,-15.980682373046875
1751013683207157800,0.35615771484375,-394.00408935546875,-194.34861755371094,-16.460586547851562
1751013683217198800,0.36619873046875,-394.0443115234375,-194.1507568359375,-16.189453125
1751013683227239000,0.376239013671875,-393.9737548828125,-194.3797607421875,-16.131927490234375
1751013683237280000,0.386280029296875,-393.97314453125,-194.2759552001953,-16.350418090820312
1751013683247320800,0.39632080078125,-393.49029541015625,-194.3183135986328,-16.183273315429688
1751013683257363000,0.406363037109375,-393.6051025390625,-193.97071838378906,-16.134536743164062
