time,seconds_elapsed,relativeAltitude,pressure
1751015756121402000,-0.447597900390625,0,1019.7563171386719
1751015757121973000,0.552972900390625,-0.0792694091796875,1019.765625
1751015758122551000,1.553551025390625,-0.15325546264648438,1019.7750091552734
1751015759123127000,2.554126953125,-0.2642326354980469,1019.7882843017578
1751015760123714000,3.554714111328125,-0.32236480712890625,1019.7954559326172
1751015761124285000,4.555284912109375,-0.3752098083496094,1019.8017883300781
1751015761675235000,5.106235107421875,-0.43334197998046875,1019.8085784912109
1751015762675811000,6.10681103515625,-0.4544792175292969,1019.8111724853516
1751015763676387000,7.107386962890625,-0.4597625732421875,1019.8118591308594
1751015764676962000,8.107962158203126,-0.49675750732421875,1019.8165130615234
1751015765677539000,9.1085390625,-0.49675750732421875,1019.8165130615234
1751015766678119000,10.109118896484375,-0.5073280334472656,1019.8176574707031
1751015767678692000,11.109692138671875,-0.5073280334472656,1019.8176574707031
1751015768679269000,12.11026904296875,-0.5548896789550781,1019.8234558105469
1751015769679856000,13.110856201171876,-0.5707435607910156,1019.8251342773438
1751015770680426200,14.11142626953125,-0.6024513244628906,1019.8287200927734
1751015771681003000,15.1120029296875,-0.6764335632324219,1019.8379516601562
1751015772681582000,16.11258203125,-0.6975746154785156,1019.8405456542969
1751015773682158000,17.113157958984374,-0.7187118530273438,1019.8432159423828
1751015774682733000,18.113733154296874,-0.7398490905761719,1019.8454284667969
1751015775683306000,19.114305908203125,-0.7398490905761719,1019.8455047607422
1751015776683882000,20.114882080078125,-0.7398490905761719,1019.8455047607422
1751015777684462000,21.115462158203126,-0.7398490905761719,1019.8455047607422
1751015778685318000,22.11631787109375,-0.7398490905761719,1019.8454284667969
1751015779685611000,23.116611083984374,-0.7345657348632812,1019.8451232910156
1751015780686192000,24.117192138671875,-0.7187118530273438,1019.8434448242188
1751015781686767000,25.11776708984375,-0.7081413269042969,1019.8419189453125
1751015782687341800,26.118341796875,-0.7028579711914062,1019.8410797119141
1751015783687917000,27.1189169921875,-0.7028579711914062,1019.8410797119141
1751015784688489000,28.119489013671874,-0.7187118530273438,1019.8427581787109
1751015785689070000,29.120070068359375,-0.7345657348632812,1019.844970703125
1751015786689642000,30.12064208984375,-0.7557029724121094,1019.8476409912109
1751015787690222000,31.12122216796875,-0.7662734985351562,1019.8490142822266
1751015788690805000,32.121804931640625,-0.7662734985351562,1019.8490142822266
1751015789691375000,33.122375,-0.7557029724121094,1019.8477172851562
1751015790691951000,34.122951171875,-0.7345657348632812,1019.8447418212891
1751015791692526000,35.12352612304687,-0.6658668518066406,1019.8369598388672
1751015792693111000,36.124111083984374,-0.6552963256835938,1019.8352813720703
1751015793693678000,37.12467797851563,-0.6341590881347656,1019.832763671875
1751015794694256000,38.125256103515625,-0.6341590881347656,1019.8326873779297
1751015795694835000,39.1258349609375,-0.5971641540527344,1019.8282623291016
1751015796695406000,40.12640600585937,-0.5865974426269531,1019.8269653320312
1751015797695985200,41.12698510742187,-0.5707435607910156,1019.8249816894531
1751015798696568000,42.127568115234375,-0.5496025085449219,1019.8229217529297
1751015799697142000,43.12814208984375,-0.5496025085449219,1019.8229217529297
1751015800697714200,44.12871411132812,-0.5707435607910156,1019.8253631591797
1751015801698295000,45.129294921875,-0.5707435607910156,1019.8253631591797
1751015802698866200,46.1298662109375,-0.5654563903808594,1019.8246002197266
1751015803699449000,47.13044897460937,-0.5443191528320312,1019.8219299316406
1751015804700020000,48.13102001953125,-0.5337486267089844,1019.8208618164062
1751015805700599800,49.131599853515624,-0.5231819152832031,1019.8197174072266
1751015806701175800,50.13217578125,-0.5126113891601562,1019.8179626464844
1751015807701750000,51.13275,-0.5020408630371094,1019.8166656494141
1751015808702326000,52.133325927734376,-0.5020408630371094,1019.8166656494141
1751015809702906000,53.13390600585937,-0.5073280334472656,1019.8174285888672
1751015810703480800,54.13448071289063,-0.5178947448730469,1019.8186492919922
1751015811704057900,55.13505786132812,-0.5284652709960938,1019.8198699951172
1751015812704633900,56.1356337890625,-0.5760269165039062,1019.8258972167969
1751015813705212200,57.13621215820312,-0.5760269165039062,1019.8258972167969
1751015814705792000,58.1367919921875,-0.5654563903808594,1019.8246765136719
1751015815706362000,59.13736206054688,-0.5601730346679688,1019.8239135742188
1751015816706936000,60.13793603515625,-0.5496025085449219,1019.822998046875
1751015817707510000,61.138510009765625,-0.5496025085449219,1019.822998046875
1751015818708087000,62.139087158203125,-0.5548896789550781,1019.8235321044922
1751015819708664000,63.1396640625,-0.5548896789550781,1019.8235321044922
1751015820709238000,64.14023803710937,-0.5548896789550781,1019.8235321044922
1751015821709816000,65.14081616210937,-0.5548896789550781,1019.8231506347656
1751015822710394000,66.14139404296876,-0.5390357971191406,1019.8213195800781
1751015823710969900,67.14196997070313,-0.5390357971191406,1019.8213195800781
1751015824711545900,68.1425458984375,-0.5443191528320312,1019.8217010498047
1751015825712121000,69.14312109375,-0.5443191528320312,1019.8217010498047
1751015826713037000,70.144037109375,-0.5390357971191406,1019.8210906982422
1751015827713275000,71.14427490234375,-0.5390357971191406,1019.8210906982422
1751015828713847000,72.14484692382813,-0.5548896789550781,1019.8236083984375
1751015829714430200,73.14543017578124,-0.5601730346679688,1019.8236846923828
1751015830715002000,74.14600219726563,-0.5654563903808594,1019.8243713378906
1751015831715580000,75.14657983398438,-0.5918807983398438,1019.8279571533203
1751015832716154000,76.14715405273438,-0.6235885620117188,1019.8317718505859
1751015833716733000,77.14773291015625,-0.6447257995605469,1019.8341369628906
1751015834717309000,78.14830883789062,-0.6605796813964844,1019.8363494873047
