time,seconds_elapsed,relativeAltitude,pressure
1751013907058518000,-0.47248193359375,0,1019.8037719726562
1751013908059094000,0.528093994140625,0,1019.8033142089844
1751013909059671000,1.528671142578125,0.005283355712890625,1019.8028564453125
1751013910060246000,2.52924609375,0.021137237548828125,1019.8009490966797
1751013911060823800,3.52982373046875,0.031707763671875,1019.7996520996094
1751013912061401000,4.530401123046875,0.031707763671875,1019.7996520996094
1751013912612348200,5.08134814453125,-0.0475616455078125,1019.8094177246094
1751013913612921900,6.081921875,-0.06869888305664062,1019.8117065429688
1751013914613497900,7.082497802734375,-0.095123291015625,1019.8149871826172
1751013915614076000,8.083075927734376,-0.13211822509765625,1019.8194122314453
