time,seconds_elapsed,relativeAltitude,pressure
1751015576804727600,-0.4512724609375,0,1019.7470855712891
1751015577805302500,0.549302490234375,0.031707763671875,1019.7431945800781
1751015578805877800,1.549877685546875,0.06869888305664062,1019.7393035888672
1751015579806456600,2.55045654296875,0.1109771728515625,1019.7336578369141
1751015580807035600,3.55103564453125,0.1109771728515625,1019.7336578369141
1751015581807611400,4.551611328125,0.0158538818359375,1019.7454833984375
1751015582358559500,5.1025595703125,-0.031707763671875,1019.7512817382812
1751015583359139600,6.1031396484375,-0.042278289794921875,1019.752197265625
1751015584359710700,7.103710693359375,-0.11626434326171875,1019.7611236572266
1751015585360287700,8.104287841796875,-0.15325546264648438,1019.7657775878906
1751015586360864500,9.104864501953125,-0.15325546264648438,1019.7657775878906
1751015587361439500,10.105439453125,-0.12683486938476562,1019.7625732421875
1751015588362016800,11.106016845703126,-0.12154769897460938,1019.7618865966797
1751015589362593500,12.106593505859376,-0.12154769897460938,1019.7618865966797
1751015590363174700,13.107174560546875,-0.08455657958984375,1019.7572326660156
1751015591363747600,14.10774755859375,-0.08455657958984375,1019.7572326660156
1751015592364329500,15.10832958984375,-0.12154769897460938,1019.7618865966797
1751015593364901600,16.108901611328125,-0.12154769897460938,1019.7618865966797
1751015594365481700,17.109481689453126,-0.12683486938476562,1019.7625732421875
1751015595366054700,18.1100546875,-0.14268875122070312,1019.7648620605469
1751015596366631400,19.11063134765625,-0.14797210693359375,1019.7653198242188
1751015597367206700,20.11120654296875,-0.16910934448242188,1019.7679138183594
1751015598367778600,21.111778564453125,-0.20081710815429688,1019.7715759277344
1751015599368359700,22.112359619140626,-0.24837875366210938,1019.7770690917969
1751015600368935700,23.112935791015627,-0.2642326354980469,1019.7789764404297
1751015601369515800,24.113515869140624,-0.2642326354980469,1019.7789764404297
1751015602370305500,25.114305419921877,-0.25894927978515625,1019.7789001464844
1751015603370665500,26.11466552734375,-0.23781204223632812,1019.7760009765625
1751015604371237600,27.115237548828127,-0.20081710815429688,1019.7718048095703
1751015605371816700,28.115816650390624,-0.19025039672851562,1019.7700500488281
1751015606372396500,29.116396484375,-0.17967987060546875,1019.7691345214844
1751015607372968700,30.11696875,-0.17967987060546875,1019.7691345214844
1751015608373550600,31.117550537109373,-0.18496322631835938,1019.7695159912109
1751015609374126600,32.11812670898438,-0.18496322631835938,1019.7698211669922
1751015610374698800,33.11869873046875,-0.19553375244140625,1019.7710418701172
1751015611375272400,34.1192724609375,-0.22724151611328125,1019.7745513916016
1751015612375846700,35.1198466796875,-0.22724151611328125,1019.7745513916016
1751015613376424400,36.12042456054687,-0.19553375244140625,1019.7706604003906
1751015614376998700,37.12099853515625,-0.18496322631835938,1019.7694396972656
1751015615377579800,38.12157983398438,-0.16910934448242188,1019.7679901123047
1751015616378152700,39.122152587890625,-0.15325546264648438,1019.7658538818359
1751015617378728700,40.12272875976562,-0.13211822509765625,1019.7632598876953
1751015618379303700,41.1233037109375,-0.10569381713867188,1019.7602081298828
1751015619380196600,42.124196533203126,-0.10041046142578125,1019.7595977783203
1751015620380456700,43.124456787109374,-0.08455657958984375,1019.7576141357422
1751015621381031400,44.12503149414062,-0.08455657958984375,1019.7576141357422
1751015622381611500,45.125611572265626,-0.08983993530273438,1019.7585296630859
1751015623382186800,46.126186767578126,-0.14797210693359375,1019.7651672363281
1751015624382765600,47.126765625,-0.14797210693359375,1019.7651672363281
1751015625383338800,48.1273388671875,-0.10569381713867188,1019.7601318359375
1751015626383915800,49.127915771484375,-0.08983993530273438,1019.7581481933594
1751015627384494600,50.12849462890625,-0.06870269775390625,1019.7559356689453
1751015628385070600,51.12907055664063,-0.042278289794921875,1019.7525787353516
1751015629385647600,52.12964770507813,-0.03699493408203125,1019.7518920898438
1751015630386222600,53.13022265625,-0.03699493408203125,1019.7518920898438
1751015631386799600,54.130799560546876,-0.07398605346679688,1019.7560882568359
1751015632387375600,55.13137573242187,-0.08455657958984375,1019.7575378417969
1751015633387951600,56.13195166015625,-0.10569381713867188,1019.7601318359375
1751015634388528600,57.132528564453125,-0.13740158081054688,1019.7642517089844
1751015635389102600,58.1331025390625,-0.19553375244140625,1019.7708129882812
1751015636389687600,59.1336875,-0.20610427856445312,1019.7721862792969
1751015637390258400,60.13425854492188,-0.21667098999023438,1019.7737121582031
1751015638390833700,61.13483374023438,-0.24837875366210938,1019.7770690917969
1751015639391410700,62.13541064453125,-0.24837875366210938,1019.7771453857422
1751015640391984600,63.13598461914062,-0.2536659240722656,1019.7779083251953
1751015641392560400,64.13656030273438,-0.2536659240722656,1019.7782135009766
1751015642393136400,65.13713647460938,-0.2536659240722656,1019.7782135009766
1751015643393713400,66.13771337890626,-0.23252487182617188,1019.7757720947266
1751015644394288600,67.13828857421875,-0.17439651489257812,1019.7685241699219
1751015645394871600,68.13887158203126,-0.10041046142578125,1019.7593688964844
1751015646395440600,69.13944067382812,-0.08983993530273438,1019.75830078125
1751015647396427500,70.14042749023437,-0.08983993530273438,1019.75830078125
1751015648396595500,71.14059545898438,-0.11098098754882812,1019.7606658935547
1751015649397172700,72.1411728515625,-0.15854263305664062,1019.7664642333984
1751015650397749800,73.14174975585938,-0.22724151611328125,1019.7747039794922
1751015651398324500,74.14232446289063,-0.24309539794921875,1019.7768402099609
1751015652398896600,75.14289672851562,-0.24309539794921875,1019.7768402099609
1751015653399477500,76.1434775390625,-0.24309539794921875,1019.7768402099609
1751015654400051700,77.1440517578125,-0.23781204223632812,1019.7762298583984
1751015655400626700,78.14462670898438,-0.23252487182617188,1019.7750854492188
