time,seconds_elapsed,z,y,x
1751013820221167600,0.129167724609375,-400.27545166015625,-160.73841857910156,-18.16131591796875
1751013820231208400,0.13920849609375,-400.60205078125,-160.95945739746094,-18.423416137695312
1751013820241249500,0.14924951171875,-400.73956298828125,-161.17373657226562,-17.86444091796875
1751013820251291400,0.15929150390625,-400.93115234375,-161.2044677734375,-18.423660278320312
1751013820261329700,0.16932958984375,-401.1487121582031,-161.10025024414062,-18.012130737304688
1751013820271376600,0.179376708984375,-400.80987548828125,-160.9825897216797,-17.79229736328125
1751013820281413600,0.18941357421875,-401.529052734375,-161.4229736328125,-18.362945556640625
1751013820291461600,0.199461669921875,-400.90692138671875,-161.02403259277344,-17.89910888671875
1751013820301503700,0.209503662109375,-401.5037841796875,-161.06932067871094,-18.052459716796875
1751013820311546600,0.219546630859375,-400.75518798828125,-161.40676879882812,-17.995620727539062
1751013820321589800,0.22958984375,-401.0767822265625,-161.2744903564453,-18.357772827148438
1751013820331631600,0.239631591796875,-401.1434020996094,-161.26889038085938,-17.953720092773438
1751013820341672700,0.249672607421875,-401.08453369140625,-161.3344268798828,-18.222549438476562
1751013820351714600,0.259714599609375,-400.8573303222656,-161.45286560058594,-18.26995849609375
1751013820361757400,0.26975732421875,-401.0688781738281,-161.4984130859375,-18.41461181640625
1751013820371799800,0.2797998046875,-401.11468505859375,-161.244140625,-17.8145751953125
1751013820381836500,0.28983642578125,-401.43292236328125,-161.19140625,-18.358291625976562
1751013820391883500,0.299883544921875,-401.53125,-161.04949951171875,-18.061904907226562
1751013820401921500,0.309921630859375,-401.5491638183594,-161.42703247070312,-18.2847900390625
1751013820411969500,0.319969482421875,-400.9186706542969,-161.55699157714844,-18.43316650390625
1751013820422007600,0.330007568359375,-400.76177978515625,-161.2644805908203,-18.292526245117188
1751013820432055800,0.340055908203125,-401.3597412109375,-161.04344177246094,-18.626571655273438
1751013820442098700,0.3500986328125,-400.96484375,-161.38534545898438,-18.371383666992188
