timestamp,long,lat,POSI_X,POSI_Y,ACCE_X,ACCE_Y,ACCE_Z,ACCE_MOD,GYRO_X,GYRO_Y,GYRO_Z,GYRO_MOD,MAGN_X,MAGN_Y,MAGN_Z,MAGN_MOD
0.1586000000,,,0.0,0.0,,,,,,,,,4.0618900000,3.5400400000,-47.1954300000,47.5019941314
0.1590000000,,,0.0,0.0,,,,,0.2224000000,0.2687500000,-0.0556600000,0.3532511261,,,,
0.1595000000,,,0.0,0.0,-0.5273400000,4.7416100000,9.1201800000,10.2926496151,,,,,,,,
0.1599000000,,,0.0,0.0,,,,,,,,,3.6132800000,2.6397700000,-46.8963600000,47.1093701854
0.1605000000,,,0.0,0.0,,,,,0.1955300000,0.2757700000,-0.0269900000,0.3391305558,,,,
0.1608000000,,,0.0,0.0,-0.5106000000,4.7440000000,8.8880800000,10.0878250603,,,,,,,,
0.1610000000,,,0.0,0.0,,,,,,,,,1.9622800000,3.0899000000,-47.1954300000,47.3371591637
0.1616000000,,,0.0,0.0,,,,,0.1810000000,0.2443800000,-0.0874000000,0.3164195702,,,,
0.1618000000,,,0.0,0.0,-0.5010200000,4.7057200000,8.7995500000,9.9913413495,,,,,,,,
0.1624000000,,,0.0,0.0,,,,,,,,,2.7130100000,3.8391100000,-49.2965700000,49.5202080228
0.1627000000,,,0.0,0.0,,,,,0.1736100000,0.2054100000,-0.1692200000,0.3177563667,,,,
0.1629000000,,,0.0,0.0,-0.4699200000,4.6566600000,8.8019300000,9.9689156324,,,,,,,,
0.1634000000,,,0.0,0.0,,,,,,,,,1.3626100000,3.6895800000,-48.0957000000,48.2562541551
0.1638000000,,,0.0,0.0,,,,,0.1668700000,0.1661200000,-0.2495400000,0.3430913332,,,,
0.1647000000,,,0.0,0.0,-0.4316400000,4.6578500000,8.9072100000,10.0608284796,,,,,,,,
0.1652000000,,,0.0,0.0,,,,,,,,,2.7130100000,2.7893100000,-47.4960300000,47.6551522849
0.1661000000,,,0.0,0.0,,,,,0.1598200000,0.1276200000,-0.3191800000,0.3790846465,,,,
0.1667000000,,,0.0,0.0,-0.3969400000,4.7069100000,9.0699300000,10.2262502080,,,,,,,,
0.1672000000,,,0.0,0.0,,,,,,,,,1.9622800000,3.5400400000,-48.5458400000,48.7142792958
0.1680000000,,,0.0,0.0,,,,,0.1538400000,0.1017600000,-0.3465600000,0.3925884318,,,,
0.1689000000,,,0.0,0.0,-0.3275500000,4.7021200000,9.1668400000,10.3076756392,,,,,,,,
0.1708000000,,,0.0,0.0,,,,,0.1510600000,0.0774200000,-0.3447600000,0.3842817165,,,,
0.1712000000,,,0.0,0.0,,,,,,,,,2.7130100000,5.6396500000,-48.9959700000,49.3940396366
0.1715000000,,,0.0,0.0,-0.2390100000,4.6243600000,9.2278600000,10.3244966642,,,,,,,,
0.1718000000,,,0.0,0.0,,,,,,,,,1.0620100000,4.4403100000,-48.8464400000,49.0593407906
0.1723000000,,,0.0,0.0,,,,,0.1457100000,0.0536200000,-0.3228500000,0.3582438150,,,,
0.1726000000,,,0.0,0.0,-0.1492800000,4.5370200000,9.2840900000,10.3344647722,,,,,,,,
