time,seconds_elapsed,dBFS
1751015782342000000,25.773000244140626,-27.740318298339844
1751015782442000000,25.872999755859375,-29.112659454345703
1751015782542000000,25.973000244140625,-31.001657485961914
1751015782641000000,26.072,-20.629640579223633
1751015782742000000,26.173000244140624,-23.134185791015625
1751015782841000000,26.272,-24.064659118652344
1751015782942000000,26.373000244140623,-22.14655113220215
1751015783041000000,26.472,-24.989662170410156
1751015783142000000,26.573000244140626,-26.57162094116211
1751015783241000000,26.672,-22.606632232666016
1751015783342000000,26.773000244140626,-24.52137565612793
1751015783442000000,26.872999755859375,-27.626728057861328
1751015783541000000,26.972,-29.460874557495117
1751015783641000000,27.072,-27.2145938873291
1751015783742000000,27.173000244140624,-29.108726501464844
1751015783842000000,27.272999755859374,-20.077045440673828
1751015783941000000,27.372,-23.258363723754883
1751015784042000000,27.472999755859377,-25.99457359313965
1751015784142000000,27.573000244140626,-27.579843521118164
1751015784241000000,27.672,-27.77351188659668
1751015784342000000,27.773000244140626,-28.344675064086914
1751015784442000000,27.872999755859375,-28.279577255249023
1751015784558000000,27.989000244140627,-32.22136688232422
1751015784657000000,28.088,-27.827598571777344
1751015784758000000,28.189000244140626,-30.23735237121582
1751015784858000000,28.288999755859376,-21.325580596923828
1751015784958000000,28.389000244140625,-24.36319923400879
1751015785058000000,28.488999755859375,-27.173969268798828
1751015785158000000,28.589000244140625,-28.629596710205078
1751015785258000000,28.688999755859374,-30.48211097717285
1751015785358000000,28.789000244140624,-28.007728576660156
1751015785475000000,28.906,-17.703125
1751015785575000000,29.006,-21.25511360168457
1751015785675000000,29.106,-24.918079376220703
1751015785774000000,29.205000244140624,-27.595142364501953
1751015785875000000,29.306,-30.261873245239258
1751015785975000000,29.406,-25.22203826904297
1751015786075000000,29.506,-27.418718338012695
1751015786174000000,29.605000244140626,-28.561044692993164
1751015786275000000,29.706,-30.847606658935547
1751015786375000000,29.806,-26.177515029907227
1751015786475000000,29.906,-26.19669532775879
1751015786574000000,30.005000244140625,-24.33262062072754
1751015786675000000,30.106,-27.58350944519043
1751015786775000000,30.206,-30.047487258911133
1751015786875000000,30.306,-32.11612319946289
1751015786974000000,30.405000244140624,-33.767669677734375
1751015787075000000,30.506,-26.540063858032227
1751015787175000000,30.606,-26.185300827026367
1751015787275000000,30.706,-29.800317764282227
1751015787374000000,30.805000244140626,-32.1126708984375
1751015787474000000,30.904999755859375,-28.396286010742188
1751015787575000000,31.006,-25.937402725219727
1751015787675000000,31.106,-23.630268096923828
1751015787774000000,31.205000244140624,-26.287933349609375
1751015787875000000,31.306,-29.429235458374023
1751015787975000000,31.406,-32.07927322387695
1751015788075000000,31.506,-34.07814025878906
1751015788177000000,31.608,-25.413562774658203
1751015788291000000,31.722,-28.415746688842773
1751015788391000000,31.822,-30.748626708984375
1751015788499000000,31.93,-32.70232009887695
1751015788608000000,32.039,-35.011661529541016
1751015788708000000,32.139,-28.22983169555664
1751015788808000000,32.239,-30.361759185791016
1751015788908000000,32.339,-32.33669662475586
1751015789008000000,32.439,-32.24637222290039
1751015789108000000,32.539,-33.242034912109375
1751015789208000000,32.639,-29.532346725463867
1751015789308000000,32.739,-22.91204833984375
1751015789408000000,32.839,-25.97272300720215
1751015789508000000,32.939,-28.978748321533203
1751015789608000000,33.039,-31.49652862548828
1751015789708000000,33.139,-29.842201232910156
1751015789808000000,33.239,-22.27090072631836
1751015789908000000,33.339,-24.664949417114258
1751015790008000000,33.439,-28.09456443786621
1751015790108000000,33.539,-31.653850555419922
1751015790208000000,33.639,-28.604473114013672
1751015790308000000,33.739,-31.2230281829834
1751015790407000000,33.838,-25.13792610168457
1751015790508000000,33.939,-27.414745330810547
1751015790608000000,34.039,-29.498239517211914
1751015790708000000,34.139,-25.80609703063965
1751015790808000000,34.239,-28.329954147338867
1751015790908000000,34.339,-30.34452247619629
1751015791008000000,34.439,-27.899185180664062
1751015791108000000,34.539,-22.27280044555664
1751015791208000000,34.639,-24.10350227355957
1751015791308000000,34.739,-26.91211700439453
1751015791408000000,34.839,-29.803987503051758
1751015791508000000,34.939,-30.404354095458984
1751015791608000000,35.039,-21.385953903198242
1751015791708000000,35.139,-21.711530685424805
1751015791808000000,35.239,-24.778207778930664
1751015791908000000,35.339,-28.16317367553711
1751015792008000000,35.439,-30.578733444213867
1751015792108000000,35.539,-29.226594924926758
1751015792208000000,35.639,-13.740839958190918
1751015792308000000,35.739,-7.883784770965576
1751015792408000000,35.839,-10.709866523742676
1751015792508000000,35.939,-10.887809753417969
1751015792607000000,36.038,-14.3038911819458
1751015792708000000,36.139,-18.669078826904297
1751015792807000000,36.238,-22.08381462097168
1751015792908000000,36.339,-25.608501434326172
1751015793008000000,36.439,-28.9754581451416
1751015793108000000,36.539,-31.569538116455078
1751015793208000000,36.639,-34.71953201293945
1751015793308000000,36.739,-30.672819137573242
1751015793408000000,36.839,-31.490068435668945
1751015793508000000,36.939,-29.688987731933594
1751015793608000000,37.039,-32.39173126220703
1751015793708000000,37.139,-33.96919631958008
1751015793808000000,37.239,-30.413972854614258
1751015793908000000,37.339,-33.241451263427734
1751015794008000000,37.439,-23.61153221130371
1751015794108000000,37.539,-26.511280059814453
1751015794208000000,37.639,-29.524415969848633
1751015794308000000,37.739,-32.42617416381836
1751015794408000000,37.839,-32.36231994628906
1751015794507000000,37.938,-28.764690399169922
1751015794608000000,38.039,-29.043254852294922
1751015794708000000,38.139,-31.093202590942383
1751015794808000000,38.239,-34.167850494384766
1751015794909000000,38.34,-35.64978790283203
1751015795008000000,38.439,-29.970205307006836
1751015795108000000,38.539,-30.746789932250977
1751015795208000000,38.639,-29.91908073425293
1751015795308000000,38.739,-32.001731872558594
1751015795408000000,38.839,-33.70320510864258
1751015795508000000,38.939,-33.53043746948242
1751015795608000000,39.039,-31.158750534057617
1751015795708000000,39.139,-26.51340103149414
1751015795808000000,39.239,-29.585180282592773
1751015795908000000,39.339,-31.69827651977539
1751015796008000000,39.439,-33.711483001708984
1751015796108000000,39.539,-20.916501998901367
1751015796225000000,39.656,-23.878854751586914
1751015796324000000,39.755,-21.469593048095703
1751015796424000000,39.855,-25.058189392089844
1751015796524000000,39.955,-27.080415725708008
1751015796625000000,40.056,-6.476101398468018
1751015796725000000,40.156,-8.185957908630371
1751015796825000000,40.256,-11.566192626953125
1751015796941000000,40.372,-10.99652099609375
1751015797041000000,40.472,-14.340117454528809
1751015797141000000,40.572,-17.803558349609375
1751015797241000000,40.672,-21.752979278564453
1751015797341000000,40.772,-25.472354888916016
1751015797442000000,40.872999755859375,-28.060771942138672
1751015797541000000,40.972,-29.562679290771484
1751015797641000000,41.072,-25.705764770507812
1751015797741000000,41.172,-27.663406372070312
1751015797841000000,41.272,-29.69284439086914
1751015797941000000,41.372,-31.987531661987305
1751015798041000000,41.472,-33.50095748901367
1751015798142000000,41.57300024414062,-33.97504806518555
1751015798241000000,41.672,-29.013776779174805
1751015798341000000,41.772,-28.543678283691406
1751015798441000000,41.872,-28.98741340637207
1751015798541000000,41.972,-31.7514705657959
1751015798641000000,42.072,-34.904579162597656
1751015798741000000,42.172,-30.29416275024414
1751015798841000000,42.272,-29.699254989624023
1751015798941000000,42.372,-31.304262161254883
1751015799041000000,42.472,-32.937950134277344
1751015799141000000,42.572,-34.261531829833984
1751015799241000000,42.672,-31.319604873657227
1751015799341000000,42.772,-29.64213752746582
1751015799441000000,42.872,-24.99494171142578
1751015799541000000,42.972,-28.06538963317871
1751015799642000000,43.07299975585938,-30.832534790039062
1751015799741000000,43.172,-32.81924819946289
1751015799841000000,43.272,-32.82087707519531
1751015799942000000,43.37300024414063,-25.333524703979492
1751015800041000000,43.472,-27.024539947509766
1751015800141000000,43.572,-24.82135772705078
1751015800241000000,43.672,-25.838930130004883
1751015800341000000,43.772,-23.04480743408203
1751015800440000000,43.871,-25.559282302856445
1751015800541000000,43.972,-27.374300003051758
1751015800641000000,44.072,-29.466001510620117
1751015800741000000,44.172,-31.26641845703125
1751015800841000000,44.272,-32.351871490478516
1751015800941000000,44.372,-30.080778121948242
1751015801041000000,44.472,-32.381744384765625
1751015801141000000,44.572,-22.852584838867188
1751015801241000000,44.672,-26.33283233642578
1751015801341000000,44.772,-29.014888763427734
1751015801441000000,44.872,-27.078495025634766
1751015801541000000,44.972,-29.499977111816406
1751015801641000000,45.072,-31.814495086669922
1751015801741000000,45.172,-25.70581817626953
1751015801841000000,45.272,-28.89283561706543
1751015801941000000,45.372,-30.703384399414062
1751015802040000000,45.471,-33.38820266723633
1751015802141000000,45.572,-35.22549819946289
1751015802241000000,45.672,-27.961023330688477
1751015802341000000,45.772,-29.26570701599121
1751015802441000000,45.872,-28.835224151611328
1751015802541000000,45.972,-29.622085571289062
1751015802641000000,46.072,-31.89752769470215
1751015802741000000,46.172,-34.272430419921875
1751015802841000000,46.272,-31.634733200073242
1751015802964000000,46.395,-24.631799697875977
1751015803057000000,46.488,-27.13133430480957
1751015803158000000,46.58900024414063,-29.930755615234375
1751015803257000000,46.688,-32.89850997924805
1751015803358000000,46.789000244140624,-30.018856048583984
1751015803458000000,46.88899975585937,-31.876020431518555
1751015803558000000,46.98900024414063,-25.681514739990234
1751015803658000000,47.088999755859376,-27.787342071533203
1751015803758000000,47.18900024414062,-30.701932907104492
1751015803857000000,47.288,-6.549093246459961
1751015803959000000,47.39,-8.448481559753418
1751015804074000000,47.50499975585937,-12.316863059997559
1751015804174000000,47.605000244140626,-11.335805892944336
1751015804274000000,47.704999755859376,-15.384662628173828
1751015804374000000,47.80500024414062,-19.042200088500977
1751015804474000000,47.90499975585937,-23.52945899963379
1751015804575000000,48.006,-27.520505905151367
1751015804675000000,48.106,-29.193618774414062
1751015804774000000,48.20500024414063,-31.813331604003906
1751015804875000000,48.306,-34.68643569946289
1751015804974000000,48.40500024414062,-33.68230056762695
1751015805074000000,48.50499975585937,-35.39812469482422
1751015805174000000,48.605000244140626,-32.37526321411133
1751015805274000000,48.704999755859376,-31.63806915283203
1751015805374000000,48.80500024414062,-29.276033401489258
1751015805473000000,48.904,-24.145946502685547
1751015805575000000,49.006,-27.602556228637695
1751015805674000000,49.104999755859374,-30.111181259155273
1751015805774000000,49.20500024414063,-29.17471694946289
1751015805874000000,49.30499975585938,-31.239389419555664
1751015805974000000,49.40500024414062,-33.64115524291992
1751015806074000000,49.50499975585937,-34.996238708496094
1751015806174000000,49.605000244140626,-35.284385681152344
1751015806274000000,49.704999755859376,-37.332759857177734
1751015806375000000,49.806,-30.39790153503418
1751015806474000000,49.90499975585937,-33.739654541015625
1751015806575000000,50.006,-35.69376754760742
1751015806691000000,50.122,-27.401269912719727
1751015806808000000,50.239,-30.68037986755371
1751015806908000000,50.339,-31.664567947387695
1751015807024000000,50.455,-34.86382293701172
1751015807124000000,50.555,-37.35358810424805
1751015807224000000,50.655,-30.89897346496582
1751015807324000000,50.755,-31.42588233947754
1751015807424000000,50.855,-32.24203109741211
1751015807525000000,50.956,-34.44123077392578
1751015807624000000,51.055,-36.164249420166016
1751015807724000000,51.155,-37.64320755004883
1751015807824000000,51.255,-33.831214904785156
1751015807924000000,51.355,-31.093441009521484
1751015808041000000,51.472,-32.50333786010742
1751015808140000000,51.571,-35.288692474365234
1751015808241000000,51.672,-35.53114318847656
1751015808341000000,51.772,-34.218231201171875
1751015808441000000,51.872,-29.745214462280273
1751015808541000000,51.972,-8.018147468566895
1751015808641000000,52.072,-7.898003578186035
1751015808741000000,52.172,-11.665794372558594
1751015808841000000,52.272,-12.17712688446045
1751015808941000000,52.372,-15.526453971862793
1751015809057000000,52.488,-20.60663414001465
1751015809165000000,52.596,-24.361024856567383
1751015809274000000,52.704999755859376,-27.70393943786621
1751015809374000000,52.80500024414062,-30.809823989868164
1751015809491000000,52.922,-33.3215217590332
1751015809591000000,53.022,-28.13844108581543
1751015809690000000,53.12099975585937,-30.776737213134766
1751015809791000000,53.222,-32.765045166015625
1751015809907000000,53.338,-35.23636245727539
1751015810007000000,53.438,-36.53792953491211
1751015810107000000,53.538,-38.85625457763672
1751015810207000000,53.638,-27.28729820251465
1751015810308000000,53.739,-30.444799423217773
1751015810408000000,53.839,-23.5814208984375
1751015810507000000,53.938,-26.665002822875977
1751015810607000000,54.038,-30.009315490722656
1751015810707000000,54.138,-32.17776107788086
1751015810807000000,54.238,-24.210115432739258
1751015810907000000,54.338,-27.195884704589844
1751015811007000000,54.438,-28.99120330810547
1751015811108000000,54.539,-32.17957305908203
1751015811207000000,54.638,-34.383174896240234
1751015811308000000,54.739,-34.06166076660156
1751015811407000000,54.838,-23.404132843017578
1751015811507000000,54.938,-25.974843978881836
1751015811607000000,55.038,-27.9472713470459
1751015811707000000,55.138,-29.388381958007812
1751015811808000000,55.239,-31.72883415222168
1751015811907000000,55.338,-33.643367767333984
1751015812007000000,55.438,-23.31902313232422
1751015812107000000,55.538,-25.61499786376953
1751015812207000000,55.638,-28.769182205200195
1751015812307000000,55.738,-30.533084869384766
1751015812407000000,55.838,-32.69418716430664
1751015812507000000,55.938,-31.96105194091797
1751015812607000000,56.038,-28.7015323638916
1751015812707000000,56.138,-25.294967651367188
1751015812807000000,56.238,-27.896591186523438
1751015812907000000,56.338,-30.056440353393555
1751015813007000000,56.438,-32.448848724365234
1751015813107000000,56.538,-34.601078033447266
1751015813207000000,56.638,-26.848737716674805
1751015813307000000,56.738,-29.103105545043945
1751015813407000000,56.838,-31.996910095214844
1751015813507000000,56.938,-34.43791198730469
1751015813607000000,57.038,-35.597843170166016
1751015813707000000,57.138,-31.432641983032227
1751015813808000000,57.239,-33.710994720458984
1751015813907000000,57.338,-35.26409912109375
1751015814008000000,57.439,-36.950748443603516
1751015814107000000,57.538,-31.877674102783203
1751015814207000000,57.638,-34.29677963256836
1751015814307000000,57.738,-5.097934722900391
1751015814407000000,57.838,-7.797263145446777
1751015814507000000,57.938,-10.024532318115234
1751015814607000000,58.038,-10.738749504089355
1751015814707000000,58.138,-15.274640083312988
1751015814808000000,58.239,-18.886133193969727
1751015814907000000,58.338,-23.23436164855957
1751015815024000000,58.455,-27.686546325683594
1751015815124000000,58.555,-30.137998580932617
1751015815224000000,58.655,-33.0499382019043
1751015815340000000,58.771,-34.600799560546875
1751015815440000000,58.871,-34.404502868652344
1751015815540000000,58.971,-35.51860427856445
1751015815640000000,59.071,-34.40323257446289
1751015815741000000,59.172,-35.72672653198242
1751015815840000000,59.271,-36.10423278808594
1751015815941000000,59.372,-32.92395782470703
1751015816040000000,59.471,-33.55816650390625
1751015816140000000,59.571,-26.176557540893555
1751015816240000000,59.671,-28.927818298339844
1751015816341000000,59.772,-30.891643524169922
1751015816441000000,59.872,-32.749149322509766
1751015816540000000,59.971,-34.375648498535156
1751015816640000000,60.071,-35.64886474609375
1751015816740000000,60.171,-27.459897994995117
1751015816840000000,60.271,-29.742164611816406
1751015816940000000,60.371,-31.456438064575195
1751015817041000000,60.472,-33.90257263183594
