time,seconds_elapsed,z,y,x
1751013796984052700,0.120052734375,-399.0499267578125,-155.5626220703125,-49.91954040527344
1751013796994092800,0.1300927734375,-398.8302001953125,-155.29913330078125,-50.43949890136719
1751013797004133600,0.140133544921875,-398.8739013671875,-155.6365203857422,-50.25984191894531
1751013797014174700,0.1501748046875,-399.18194580078125,-155.38616943359375,-50.072265625
1751013797024214500,0.160214599609375,-399.701171875,-155.67208862304688,-50.06538391113281
1751013797034254600,0.170254638671875,-399.18890380859375,-155.5532684326172,-50.34251403808594
1751013797044295400,0.18029541015625,-399.33929443359375,-155.7417755126953,-50.267547607421875
1751013797054336500,0.19033642578125,-399.3643493652344,-155.908203125,-50.17033386230469
1751013797064373500,0.20037353515625,-399.08758544921875,-155.79315185546875,-50.45140075683594
1751013797074420700,0.210420654296875,-399.24920654296875,-155.6630401611328,-50.36210632324219
1751013797084462600,0.220462646484375,-398.68560791015625,-155.99151611328125,-50.30009460449219
1751013797094504700,0.230504638671875,-399.1918640136719,-155.7590789794922,-50.00724792480469
1751013797104546600,0.240546630859375,-399.3018798828125,-156.13583374023438,-49.94969177246094
1751013797114587600,0.250587646484375,-399.2137451171875,-155.70928955078125,-49.937530517578125
1751013797124630800,0.260630859375,-398.84564208984375,-155.92649841308594,-49.96806335449219
1751013797134672600,0.270672607421875,-399.3572998046875,-155.71743774414062,-49.93428039550781
1751013797144714500,0.280714599609375,-399.47808837890625,-155.8880157470703,-49.8602294921875
1751013797154756600,0.290756591796875,-399.14947509765625,-155.72752380371094,-50.25953674316406
1751013797164798500,0.300798583984375,-399.3297424316406,-155.71018981933594,-50.28477478027344
1751013797174840600,0.310840576171875,-399.6228942871094,-155.8765869140625,-50.12458801269531
1751013797184882700,0.320882568359375,-399.34771728515625,-155.73666381835938,-49.9598388671875
1751013797194924500,0.330924560546875,-399.4644470214844,-155.70748901367188,-49.93919372558594
1751013797204965600,0.340965576171875,-399.3288879394531,-155.78012084960938,-50.25987243652344
1751013797215007500,0.351007568359375,-399.6500549316406,-155.80502319335938,-50.50547790527344
1751013797225049600,0.361049560546875,-399.31622314453125,-156.21568298339844,-50.11322021484375
1751013797235091700,0.371091796875,-399.20361328125,-156.10528564453125,-49.904876708984375
1751013797245134600,0.381134521484375,-399.4823913574219,-156.0391845703125,-50.30714416503906
1751013797255175700,0.39117578125,-398.9201354980469,-156.23333740234375,-50.02122497558594
1751013797265217500,0.401217529296875,-399.03033447265625,-155.84092712402344,-50.225128173828125
1751013797275259400,0.41125927734375,-399.36737060546875,-156.2125701904297,-50.38670349121094
1751013797285302500,0.421302490234375,-399.18304443359375,-156.5367431640625,-50.392547607421875
1751013797295343600,0.431343505859375,-399.36279296875,-156.25479125976562,-50.44346618652344
1751013797305387500,0.441387451171875,-399.36224365234375,-156.3293914794922,-50.40702819824219
1751013797315429600,0.4514296875,-399.50048828125,-156.4125518798828,-50.40187072753906
1751013797325471700,0.4614716796875,-398.9947814941406,-156.1193084716797,-50.6064453125
1751013797335514600,0.4715146484375,-399.8309326171875,-156.55364990234375,-50.84429931640625
1751013797345557800,0.481557861328125,-399.47021484375,-156.43081665039062,-50.50926208496094
1751013797355600600,0.4916005859375,-399.5810546875,-156.3318328857422,-50.46885681152344
1751013797365642500,0.501642578125,-399.35614013671875,-156.667236328125,-50.55268859863281
1751013797375686700,0.511686767578125,-399.4469299316406,-156.5361785888672,-50.674285888671875
1751013797385729500,0.5217294921875,-399.4862365722656,-156.39825439453125,-50.58799743652344
1751013797395771400,0.531771484375,-399.31982421875,-156.50025939941406,-50.700897216796875
1751013797405812500,0.5418125,-399.67279052734375,-156.66758728027344,-50.41600036621094
1751013797415853600,0.551853515625,-399.4613952636719,-156.85671997070312,-50.582427978515625
1751013797425893600,0.5618935546875,-399.6551513671875,-156.6958465576172,-50.10821533203125
1751013797435935500,0.571935546875,-399.6065673828125,-156.7028350830078,-51.08897399902344
1751013797445976600,0.5819765625,-399.19873046875,-156.69329833984375,-50.830963134765625
1751013797456017400,0.592017333984375,-399.31927490234375,-156.83673095703125,-50.86924743652344
1751013797466058500,0.60205859375,-399.4688415527344,-156.876220703125,-51.15010070800781
1751013797476099600,0.612099609375,-399.440185546875,-157.0889129638672,-51.07586669921875
1751013797486141700,0.6221416015625,-399.50140380859375,-156.79345703125,-51.04597473144531
1751013797496182800,0.632182861328125,-399.0050048828125,-156.9438018798828,-50.4615478515625
1751013797506224600,0.642224609375,-399.8238220214844,-156.8360137939453,-50.78648376464844
1751013797516265700,0.652265625,-399.23016357421875,-156.8739013671875,-50.77134704589844
1751013797526307600,0.6623076171875,-399.7990417480469,-156.69883728027344,-50.96168518066406
1751013797536349400,0.672349365234375,-399.32659912109375,-156.7876434326172,-50.75950622558594
1751013797546391600,0.6823916015625,-399.7198486328125,-156.84828186035156,-50.81062316894531
1751013797556432400,0.692432373046875,-399.8712463378906,-156.84628295898438,-50.725738525390625
1751013797566473500,0.702473388671875,-399.73992919921875,-156.5775146484375,-51.13963317871094
1751013797576514600,0.7125146484375,-399.5448913574219,-156.61117553710938,-50.99604797363281
1751013797586556700,0.722556640625,-399.65338134765625,-156.85073852539062,-50.80201721191406
1751013797596597800,0.73259765625,-399.86334228515625,-156.9528350830078,-50.702789306640625
1751013797606640600,0.742640625,-399.5965576171875,-157.02191162109375,-50.75453186035156
1751013797616683500,0.75268359375,-399.61871337890625,-157.0541229248047,-50.28752136230469
1751013797626726700,0.7627265625,-399.85784912109375,-157.4911346435547,-50.50138854980469
1751013797636768500,0.7727685546875,-400.0924072265625,-157.36175537109375,-50.67864990234375
1751013797646809600,0.7828095703125,-399.7923583984375,-157.31375122070312,-50.765228271484375
1751013797656851500,0.7928515625,-400.11279296875,-157.54103088378906,-50.926971435546875
1751013797666892500,0.802892578125,-399.9091796875,-157.8529510498047,-50.884002685546875
1751013797676934400,0.812934326171875,-399.7620849609375,-157.9418487548828,-51.07182312011719
1751013797686975500,0.8229755859375,-399.94195556640625,-157.94705200195312,-51.10057067871094
1751013797697014500,0.8330146484375,-399.3195495605469,-158.0696258544922,-50.804046630859375
1751013797707055600,0.8430556640625,-399.80609130859375,-158.17556762695312,-51.074066162109375
1751013797717095400,0.853095458984375,-400.1244812011719,-158.09095764160156,-51.21427917480469
1751013797727137500,0.863137451171875,-399.7663269042969,-158.0721893310547,-51.00257873535156
1751013797737178600,0.8731787109375,-399.9913330078125,-157.9507293701172,-51.1025390625
1751013797747219500,0.883219482421875,-399.51141357421875,-158.24044799804688,-50.65498352050781
1751013797757260500,0.893260498046875,-399.84478759765625,-158.19509887695312,-50.7120361328125
1751013797767301600,0.903301513671875,-400.134521484375,-157.93324279785156,-50.78800964355469
1751013797777343500,0.913343505859375,-399.951171875,-158.0074005126953,-51.063323974609375
1751013797787384600,0.923384521484375,-400.2451171875,-157.983154296875,-50.698516845703125
1751013797797425400,0.93342529296875,-399.94183349609375,-157.6529998779297,-50.94056701660156
1751013797807466500,0.943466552734375,-400.184326171875,-157.86383056640625,-50.89955139160156
1751013797817508400,0.95350830078125,-399.7826843261719,-157.9123077392578,-50.78868103027344
1751013797827549400,0.963549560546875,-400.3173828125,-158.265625,-51.516357421875
1751013797837590500,0.973590576171875,-400.02935791015625,-158.17213439941406,-51.118499755859375
1751013797847631400,0.98363134765625,-400.48297119140625,-157.96304321289062,-50.862091064453125
1751013797857673500,0.993673583984375,-399.750244140625,-158.01683044433594,-51.18235778808594
1751013797867715300,1.00371533203125,-400.1229553222656,-158.0161895751953,-50.830841064453125
1751013797877756400,1.01375634765625,-399.760009765625,-158.19029235839844,-50.78742980957031
1751013797887798500,1.023798583984375,-399.811767578125,-158.08877563476562,-50.85139465332031
