time,seconds_elapsed,relativeAltitude,pressure
1751015430442732500,-0.236267333984375,0,1019.7779083251953
1751015431443312600,0.764312744140625,0.010570526123046875,1019.7763824462891
1751015432443887600,1.7648876953125,0.026424407958984375,1019.7748565673828
1751015433444467500,2.765467529296875,0.026424407958984375,1019.7748565673828
1751015434445039600,3.76603955078125,-0.005283355712890625,1019.7787475585938
1751015435445622800,4.766622802734375,-0.01056671142578125,1019.7793579101562
1751015435996567800,5.31756787109375,-0.0158538818359375,1019.7801208496094
1751015436997144600,6.31814453125,-0.021137237548828125,1019.7805786132812
1751015437997720800,7.318720947265625,-0.021137237548828125,1019.7808074951172
1751015438998298600,8.319298583984375,-0.0475616455078125,1019.7838592529297
1751015439998877400,9.31987744140625,-0.07398223876953125,1019.7868347167969
1751015440999449900,10.320449951171875,-0.10569000244140625,1019.7908020019531
1751015442000029400,11.321029541015625,-0.1268310546875,1019.7930145263672
1751015443000603600,12.321603759765624,-0.14796829223632812,1019.796142578125
1751015444001179600,13.3221796875,-0.20081329345703125,1019.8021697998047
1751015445001761800,14.32276171875,-0.24837493896484375,1019.8079681396484
1751015446002467600,15.323467529296876,-0.285369873046875,1019.8126220703125
1751015447002911500,16.323911376953124,-0.348785400390625,1019.8200988769531
1751015448003492600,17.32449267578125,-0.3963470458984375,1019.8259735107422
1751015449004062700,18.325062744140624,-0.412200927734375,1019.827880859375
1751015450004640500,19.325640625,-0.4227714538574219,1019.8294067382812
1751015451005217500,20.326217529296876,-0.4227714538574219,1019.8294067382812
1751015452005792500,21.32679248046875,-0.4280548095703125,1019.8300170898438
1751015453006368500,22.327368408203125,-0.4333381652832031,1019.8304748535156
1751015454006947600,23.327947509765625,-0.44390869140625,1019.8316192626953
1751015455007523600,24.328523681640625,-0.4597625732421875,1019.8332214355469
1751015456008100600,25.3291005859375,-0.4597625732421875,1019.8336029052734
1751015457008678700,26.3296787109375,-0.4597625732421875,1019.8336029052734
1751015458009251600,27.33025146484375,-0.4544792175292969,1019.8331451416016
1751015459009826600,28.33082666015625,-0.4491920471191406,1019.8320007324219
1751015460010406700,29.33140673828125,-0.44390869140625,1019.8317718505859
1751015461010983700,30.331983642578123,-0.44390869140625,1019.8317718505859
1751015462011557600,31.3325576171875,-0.44390869140625,1019.8317718505859
1751015463012131600,32.33313159179688,-0.4491920471191406,1019.8321533203125
1751015464012706600,33.33370654296875,-0.4544792175292969,1019.8326873779297
1751015465013286700,34.33428662109375,-0.4544792175292969,1019.832763671875
1751015466013861600,35.33486157226562,-0.4597625732421875,1019.8333740234375
1751015467014440400,36.3354404296875,-0.4703330993652344,1019.8350524902344
1751015468015016400,37.336016357421876,-0.4808998107910156,1019.8358917236328
1751015469015590700,38.33659057617187,-0.4861869812011719,1019.8368835449219
1751015470016168700,39.337168701171876,-0.4914703369140625,1019.8374938964844
1751015471016742700,40.33774267578125,-0.5020408630371094,1019.8389434814453
1751015472017324800,41.33832470703125,-0.5020408630371094,1019.8389434814453
1751015473017894400,42.338894287109376,-0.4861869812011719,1019.8368072509766
1751015474018703600,43.33970361328125,-0.4650459289550781,1019.8344421386719
1751015475019048700,44.34004858398438,-0.4544792175292969,1019.8329925537109
1751015476019621600,45.34062158203125,-0.44390869140625,1019.8316192626953
1751015477020203500,46.34120361328125,-0.4280548095703125,1019.8299407958984
1751015478020775700,47.341775634765625,-0.4280548095703125,1019.8299407958984
1751015479021356500,48.3423564453125,-0.4333381652832031,1019.8304748535156
1751015480021929500,49.342929443359374,-0.4333381652832031,1019.8304748535156
1751015481022504400,50.34350439453125,-0.4069175720214844,1019.8271179199219
1751015482023081500,51.34408154296875,-0.3752098083496094,1019.8233032226562
1751015483023657500,52.344657470703126,-0.3276481628417969,1019.8177337646484
