time,seconds_elapsed,steps
1751015439598403300,8.9194033203125,12
1751015442143848200,11.46484814453125,16
1751015444689298700,14.010298583984374,21
1751015447234752800,16.555752685546874,26
1751015449780211000,19.1012109375,31
1751015452325672700,21.646672607421873,36
1751015454871133700,24.1921337890625,41
1751015457416595000,26.737594970703125,46
1751015459962052900,29.283052978515624,51
1751015462507507000,31.8285068359375,56
1751015465052958000,34.3739580078125,61
1751015467598407200,36.9194072265625,66
1751015470143862500,39.46486254882812,71
1751015472689314600,42.010314453125,77
1751015475234771700,44.55577172851562,82
1751015477780231000,47.10123095703125,87
1751015480325687000,49.64668701171875,92
1751015482871142000,52.19214184570313,97
1751015485416605700,54.73760571289063,102
1751015487962075000,57.283074951171876,107
1751015490507546400,59.82854638671875,112
1751015493053016800,62.374016845703125,117
1751015495598496000,64.91949609375,122
1751015498143966500,67.46496655273438,126
1751015500689440800,70.01044067382813,126
1751015503234916600,72.55591650390625,131
1751015505780388900,75.10138891601562,137
1751015508325865200,77.646865234375,142
1751015510871342300,80.19234228515624,147
1751015513416812500,82.7378125,152
1751015515962283500,85.28328344726563,157
1751015518507756300,87.82875634765625,162
1751015521053231000,90.37423120117188,167
1751015523598696200,92.9196962890625,172
1751015526144165000,95.4651650390625,177
1751015528689635300,98.01063525390624,182
1751015531235107000,100.55610717773438,187
1751015533780579000,103.1015791015625,192
1751015536326047500,105.64704760742187,197
1751015538871516200,108.19251611328124,202
1751015541416985600,110.73798559570312,207
1751015543962453800,113.28345385742188,212
1751015546507924000,115.82892407226562,217
1751015549053397200,118.37439721679688,222
1751015551598858200,120.91985815429688,227
1751015554144321500,123.46532153320312,232
1751015556689783600,126.01078344726562,237
